1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
289, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:big_red_jellyfish, 10, 1, 1
290, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:cosmic_jellyfish, 10, 1, 1
291, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:crown_jellyfish, 10, 1, 1
292, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:firework_jellyfish, 10, 1, 1
293, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:lions_mane_jellyfish, 10, 1, 1
294, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:mauve_stinger, 10, 1, 3
295, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:nomura_jellyfish, 10, 1, 1
296, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:basking_shark, 10, 1, 1
297, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:yeti_crab, 10, 1, 2
298, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
299, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
300, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
301, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
302, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
303, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
304, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
305, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
306, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
307, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
308, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
309, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
310, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 10, 1, 1
311, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
312, ocean, minecraft:deep_lukewarm_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
313, ocean, minecraft:deep_lukewarm_ocean, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
314, ocean, minecraft:deep_lukewarm_ocean, MONSTER, creeperoverhaul:ocean_creeper, 10, 1, 1
315, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
316, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
317, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
318, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
319, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
320, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
321, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
322, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:anglerfish, 10, 1, 2
323, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:barracuda, 10, 1, 1
324, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:barreleye, 10, 1, 2
325, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:coelacanth, 10, 1, 1
326, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:damselfish, 10, 4, 12
327, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:dragonfish, 10, 1, 2
328, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:flashlight_fish, 10, 4, 12
329, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:flying_fish, 10, 4, 12
330, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:john_dory, 10, 1, 2
331, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:mahi, 10, 1, 4
332, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:manta_ray, 10, 1, 2
333, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:needlefish, 10, 1, 4
334, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:oarfish, 10, 1, 2
335, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ocean_sunfish, 10, 1, 2
336, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:opah, 10, 1, 2
337, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ratfish, 10, 1, 3
338, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:rockfish, 10, 1, 4
339, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:sea_bass, 10, 1, 3
340, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:seadragon, 10, 1, 2
341, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:snailfish, 10, 1, 3
342, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:squirrelfish, 10, 4, 12
343, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:tuna, 10, 1, 4
344, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:firefly_squid, 10, 1, 2
345, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:nautilus, 10, 1, 1
346, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:umbrella_octopus, 10, 1, 1
347, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:vampire_squid, 10, 1, 1
348, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:vampire_squid, 10, 1, 1
349, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:barrel_jellyfish, 10, 1, 2
350, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:big_red_jellyfish, 10, 1, 1
351, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:box_jellyfish, 10, 1, 1
352, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:cepheidae_jellyfish, 10, 1, 2
353, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:cosmic_jellyfish, 10, 1, 1
354, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:crown_jellyfish, 10, 1, 1
355, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:firework_jellyfish, 10, 1, 1
356, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:mauve_stinger, 10, 1, 3
357, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:sea_nettle, 10, 1, 4
358, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:bull_shark, 10, 1, 2
359, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:frilled_shark, 10, 1, 1
360, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:great_white_shark, 10, 1, 1
361, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:lantern_shark, 10, 1, 2
362, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:thresher_shark, 10, 1, 1
363, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:whale_shark, 10, 1, 1
364, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
365, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
366, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_slug, 10, 0, 2
367, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
368, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
369, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
370, ocean, minecraft:deep_lukewarm_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
371, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
372, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
373, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
374, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
375, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
376, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
377, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
378, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 10, 1, 1
379, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 10, 1, 1
380, ocean, minecraft:deep_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
381, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
382, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
383, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
384, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
385, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
386, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:anglerfish, 10, 1, 2
387, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:barreleye, 10, 1, 2
388, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:coelacanth, 10, 1, 1
389, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:dragonfish, 10, 1, 2
390, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:john_dory, 10, 1, 2
391, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:mackerel, 10, 4, 12
392, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:manta_ray, 10, 1, 2
393, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:oarfish, 10, 1, 2
394, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ocean_sunfish, 10, 1, 2
395, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:opah, 10, 1, 2
396, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ratfish, 10, 1, 3
397, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:sea_angel, 10, 1, 2
398, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:snailfish, 10, 1, 3
399, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:tuna, 10, 1, 4
400, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:big_red_jellyfish, 10, 1, 1
401, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:blue_jellyfish, 10, 1, 2
402, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:cosmic_jellyfish, 10, 1, 1
403, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:crown_jellyfish, 10, 1, 1
404, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:firework_jellyfish, 10, 1, 1
405, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:mauve_stinger, 10, 1, 3
406, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:sea_nettle, 10, 1, 4
407, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:basking_shark, 10, 1, 1
408, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:great_white_shark, 10, 1, 1
409, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:hammerhead_shark, 10, 1, 2
410, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:lantern_shark, 10, 1, 2
411, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:thresher_shark, 10, 1, 1
412, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:giant_isopod, 10, 1, 2
413, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:spider_crab, 10, 1, 2
414, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
415, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
416, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
417, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
418, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
419, ocean, minecraft:deep_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
420, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
421, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
422, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
423, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
424, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
425, desert, minecraft:desert, MONSTER, minecraft:witch, 10, 1, 1
426, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
427, desert, minecraft:desert, MONSTER, rottencreatures:undead_miner, 20, 1, 4
428, desert, minecraft:desert, MONSTER, rottencreatures:mummy, 20, 1, 3
429, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
430, desert, minecraft:desert, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
431, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
432, desert, minecraft:desert, MONSTER, endermanoverhaul:desert_enderman, 10, 1, 4
433, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
434, desert, minecraft:desert, CREATURE, naturalist:cardinal, 10, 1, 4
435, desert, minecraft:desert, CREATURE, naturalist:lizard, 15, 1, 2
436, desert, minecraft:desert, CREATURE, naturalist:rattlesnake, 10, 1, 1
437, desert, minecraft:desert, CREATURE, naturalist:tortoise, 10, 1, 3
438, desert, minecraft:desert, CREATURE, naturalist:vulture, 15, 2, 4
439, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
440, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
441, private, spectrum:dragonrot_swamp, MONSTER, spectrum:eraser, 50, 4, 8
442, private, spectrum:dragonrot_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
443, private, spectrum:dragonrot_swamp, MONSTER, minecraft:creeper, 80, 4, 4
444, private, spectrum:dragonrot_swamp, MONSTER, minecraft:drowned, 80, 4, 8
445, private, spectrum:dragonrot_swamp, MONSTER, minecraft:spider, 10, 4, 4
446, private, spectrum:dragonrot_swamp, MONSTER, minecraft:phantom, 10, 1, 2
447, private, spectrum:dragonrot_swamp, AMBIENT, minecraft:bat, 10, 8, 8
448, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
449, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
450, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 10, 1, 1
451, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
452, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
453, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 10, 1, 1
454, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
455, private, minecraft:dripstone_caves, MONSTER, rottencreatures:undead_miner, 20, 1, 4
456, private, minecraft:dripstone_caves, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
457, private, minecraft:dripstone_caves, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
458, private, minecraft:dripstone_caves, MONSTER, creeperoverhaul:dripstone_creeper, 75, 2, 2
459, private, minecraft:dripstone_caves, CREATURE, naturalist:snail, 10, 1, 3
460, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
461, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
462, private, minecraft:dripstone_caves, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:tetra, 10, 2, 3
463, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
464, private, minecraft:end_barrens, MONSTER, endermanoverhaul:end_enderman, 10, 1, 2
465, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
466, private, minecraft:end_highlands, MONSTER, endermanoverhaul:end_enderman, 10, 1, 2
467, private, minecraft:end_highlands, MONSTER, endermanoverhaul:end_islands_enderman, 10, 1, 1
468, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
469, private, minecraft:end_midlands, MONSTER, endermanoverhaul:end_enderman, 10, 1, 2
470, private, minecraft:end_midlands, MONSTER, endermanoverhaul:end_islands_enderman, 10, 1, 1
471, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
472, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 80, 4, 4
473, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
474, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
475, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
476, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 10, 1, 1
477, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:badlands_creeper, 75, 2, 2
478, badlands, minecraft:eroded_badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 4
479, badlands, minecraft:eroded_badlands, MONSTER, rottencreatures:undead_miner, 20, 1, 4
480, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
481, badlands, minecraft:eroded_badlands, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
482, badlands, minecraft:eroded_badlands, CREATURE, naturalist:rattlesnake, 10, 1, 1
483, badlands, minecraft:eroded_badlands, CREATURE, naturalist:vulture, 15, 2, 4
484, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
485, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
486, badlands, minecraft:eroded_badlands, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:pupfish, 10, 0, 1
487, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
488, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
489, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
490, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
491, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
492, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
493, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 10, 1, 1
494, forest, minecraft:flower_forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
495, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
496, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:flower_fields_enderman, 10, 1, 2
497, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
498, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
499, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
500, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 4, 4
501, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
502, forest, minecraft:flower_forest, CREATURE, naturalist:bear, 10, 1, 2
503, forest, minecraft:flower_forest, CREATURE, naturalist:boar, 15, 4, 4
504, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal, 10, 1, 4
505, forest, minecraft:flower_forest, CREATURE, naturalist:deer, 10, 1, 3
506, forest, minecraft:flower_forest, CREATURE, naturalist:finch, 10, 1, 4
507, forest, minecraft:flower_forest, CREATURE, minecraft:fox, 10, 2, 4
508, forest, minecraft:flower_forest, CREATURE, naturalist:lizard, 15, 1, 2
509, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
510, forest, minecraft:flower_forest, CREATURE, naturalist:robin, 10, 1, 4
511, forest, minecraft:flower_forest, CREATURE, naturalist:snail, 10, 1, 3
512, forest, minecraft:flower_forest, CREATURE, naturalist:snake, 10, 1, 1
513, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
514, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
515, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
516, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
517, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
518, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
519, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
520, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
521, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
522, forest, minecraft:forest, MONSTER, minecraft:witch, 10, 1, 1
523, forest, minecraft:forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
524, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
525, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
526, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
527, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
528, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
529, forest, minecraft:forest, CREATURE, naturalist:bear, 10, 1, 2
530, forest, minecraft:forest, CREATURE, naturalist:boar, 15, 4, 4
531, forest, minecraft:forest, CREATURE, naturalist:cardinal, 10, 1, 4
532, forest, minecraft:forest, CREATURE, naturalist:deer, 10, 1, 3
533, forest, minecraft:forest, CREATURE, naturalist:finch, 10, 1, 4
534, forest, minecraft:forest, CREATURE, minecraft:fox, 10, 2, 4
535, forest, minecraft:forest, CREATURE, naturalist:lizard, 15, 1, 2
536, forest, minecraft:forest, CREATURE, minecraft:rabbit, 10, 2, 3
537, forest, minecraft:forest, CREATURE, naturalist:robin, 10, 1, 4
538, forest, minecraft:forest, CREATURE, naturalist:snail, 10, 1, 3
539, forest, minecraft:forest, CREATURE, naturalist:snake, 10, 1, 1
540, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
541, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
542, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
543, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
544, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
545, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
546, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
547, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
548, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 10, 1, 1
549, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 10, 1, 1
550, ocean, minecraft:frozen_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
551, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
552, ocean, minecraft:frozen_ocean, CREATURE, ecologics:penguin, 10, 4, 5
553, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
554, ocean, minecraft:frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
555, ocean, minecraft:frozen_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
556, ocean, minecraft:frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
557, ocean, minecraft:frozen_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:sea_angel, 10, 1, 2
558, ocean, minecraft:frozen_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:arrow_squid, 10, 1, 2
