"Registry name","Map color (hex)","Map color (int)"
"minecraft:cherry_pressure_plate","#D1B1A1","13742497"
"minecraft:cherry_sapling","#F27FA5","15892389"
"minecraft:cherry_sign","#D1B1A1","13742497"
"minecraft:cherry_slab","#D1B1A1","13742497"
"minecraft:cherry_stairs","#D1B1A1","13742497"
"minecraft:cherry_trapdoor","#D1B1A1","13742497"
"minecraft:cherry_wall_hanging_sign","#A04D4E","10505550"
"minecraft:cherry_wall_sign","#D1B1A1","13742497"
"minecraft:cherry_wood","#392923","3746083"
"minecraft:chest","#8F7748","9402184"
"minecraft:chipped_anvil","#A7A7A7","10987431"
"minecraft:chiseled_bookshelf","#8F7748","9402184"
"minecraft:chiseled_deepslate","#646464","6579300"
"minecraft:chiseled_nether_bricks","#700200","7340544"
"minecraft:chiseled_polished_blackstone","#191919","1644825"
"minecraft:chiseled_quartz_block","#FFFCF5","16776437"
"minecraft:chiseled_red_sandstone","#D87F33","14188339"
"minecraft:chiseled_sandstone","#F7E9A3","16247203"
"minecraft:chiseled_stone_bricks","#707070","7368816"
"minecraft:chorus_flower","#7F3FB2","8339378"
"minecraft:chorus_plant","#7F3FB2","8339378"
"minecraft:clay","#A4A8B8","10791096"
"minecraft:coal_block","#191919","1644825"
"minecraft:coal_ore","#707070","7368816"
"minecraft:coarse_dirt","#976D4D","9923917"
"minecraft:cobbled_deepslate","#646464","6579300"
"minecraft:cobbled_deepslate_slab","#646464","6579300"
"minecraft:cobbled_deepslate_stairs","#646464","6579300"
"minecraft:cobbled_deepslate_wall","#646464","6579300"
"minecraft:cobblestone","#707070","7368816"
"minecraft:cobblestone_slab","#707070","7368816"
"minecraft:cobblestone_stairs","#707070","7368816"
"minecraft:cobblestone_wall","#707070","7368816"
"minecraft:cobweb","#C7C7C7","13092807"
"minecraft:cocoa","#007C00","31744"
"minecraft:command_block","#664C33","6704179"
"minecraft:comparator","#000000","0"
"minecraft:composter","#8F7748","9402184"
"minecraft:conduit","#5CDBD5","6085589"
"minecraft:copper_block","#D87F33","14188339"
"minecraft:copper_ore","#707070","7368816"
"minecraft:cornflower","#007C00","31744"
"minecraft:cracked_deepslate_bricks","#646464","6579300"
"minecraft:cracked_deepslate_tiles","#646464","6579300"
"minecraft:cracked_nether_bricks","#700200","7340544"
"minecraft:cracked_polished_blackstone_bricks","#191919","1644825"
"minecraft:cracked_stone_bricks","#707070","7368816"
"minecraft:crafting_table","#8F7748","9402184"
"minecraft:creeper_head","#000000","0"
"minecraft:creeper_wall_head","#000000","0"
"minecraft:crimson_button","#000000","0"
"minecraft:crimson_door","#943F61","9715553"
"minecraft:crimson_fence","#943F61","9715553"
"minecraft:crimson_fence_gate","#943F61","9715553"
"minecraft:crimson_fungus","#700200","7340544"
"minecraft:crimson_hanging_sign","#943F61","9715553"
"minecraft:crimson_hyphae","#5C191D","6035741"
"minecraft:crimson_nylium","#BD3031","12398641"
"minecraft:crimson_planks","#943F61","9715553"
"minecraft:crimson_pressure_plate","#943F61","9715553"
"minecraft:crimson_roots","#700200","7340544"
"minecraft:crimson_sign","#943F61","9715553"
"minecraft:crimson_slab","#943F61","9715553"
"minecraft:crimson_stairs","#943F61","9715553"
"minecraft:crimson_stem","#943F61","9715553"
"minecraft:crimson_trapdoor","#943F61","9715553"
"minecraft:crimson_wall_hanging_sign","#943F61","9715553"
"minecraft:crimson_wall_sign","#943F61","9715553"
"minecraft:crying_obsidian","#191919","1644825"
"minecraft:cut_copper","#D87F33","14188339"
"minecraft:cut_copper_slab","#D87F33","14188339"
"minecraft:cut_copper_stairs","#D87F33","14188339"
"minecraft:cut_red_sandstone","#D87F33","14188339"
"minecraft:cut_red_sandstone_slab","#D87F33","14188339"
"minecraft:cut_sandstone","#F7E9A3","16247203"
"minecraft:cut_sandstone_slab","#F7E9A3","16247203"
"minecraft:cyan_banner","#8F7748","9402184"
"minecraft:cyan_bed","#4C7F99","5013401"
"minecraft:cyan_candle","#4C7F99","5013401"
"minecraft:cyan_candle_cake","#000000","0"
"minecraft:cyan_carpet","#4C7F99","5013401"
"minecraft:cyan_concrete","#4C7F99","5013401"
"minecraft:cyan_concrete_powder","#4C7F99","5013401"
"minecraft:cyan_glazed_terracotta","#4C7F99","5013401"
"minecraft:cyan_shulker_box","#4C7F99","5013401"
"minecraft:cyan_stained_glass","#4C7F99","5013401"
"minecraft:cyan_stained_glass_pane","#000000","0"
"minecraft:cyan_terracotta","#575C5C","5725276"
"minecraft:cyan_wall_banner","#8F7748","9402184"
"minecraft:cyan_wool","#4C7F99","5013401"
"minecraft:damaged_anvil","#A7A7A7","10987431"
"minecraft:dandelion","#007C00","31744"
"minecraft:dark_oak_button","#000000","0"
"minecraft:dark_oak_door","#664C33","6704179"
"minecraft:dark_oak_fence","#664C33","6704179"
"minecraft:dark_oak_fence_gate","#664C33","6704179"
"minecraft:dark_oak_hanging_sign","#664C33","6704179"
"minecraft:dark_oak_leaves","#007C00","31744"
"minecraft:dark_oak_log","#664C33","6704179"
"minecraft:dark_oak_planks","#664C33","6704179"
"minecraft:dark_oak_pressure_plate","#664C33","6704179"
"minecraft:dark_oak_sapling","#007C00","31744"
"minecraft:dark_oak_sign","#664C33","6704179"
"minecraft:dark_oak_slab","#664C33","6704179"
"minecraft:dark_oak_stairs","#664C33","6704179"
"minecraft:dark_oak_trapdoor","#664C33","6704179"
"minecraft:dark_oak_wall_hanging_sign","#664C33","6704179"
"minecraft:dark_oak_wall_sign","#664C33","6704179"
"minecraft:dark_oak_wood","#664C33","6704179"
"minecraft:dark_prismarine","#5CDBD5","6085589"
"minecraft:dark_prismarine_slab","#5CDBD5","6085589"
"minecraft:dark_prismarine_stairs","#5CDBD5","6085589"
"minecraft:daylight_detector","#8F7748","9402184"
"minecraft:dead_brain_coral","#4C4C4C","5000268"
"minecraft:dead_brain_coral_block","#4C4C4C","5000268"
"minecraft:dead_brain_coral_fan","#4C4C4C","5000268"
"minecraft:dead_brain_coral_wall_fan","#4C4C4C","5000268"
"minecraft:dead_bubble_coral","#4C4C4C","5000268"
"minecraft:dead_bubble_coral_block","#4C4C4C","5000268"
"minecraft:dead_bubble_coral_fan","#4C4C4C","5000268"
"minecraft:dead_bubble_coral_wall_fan","#4C4C4C","5000268"
"minecraft:dead_bush","#8F7748","9402184"
"minecraft:dead_fire_coral","#4C4C4C","5000268"
"minecraft:dead_fire_coral_block","#4C4C4C","5000268"
"minecraft:dead_fire_coral_fan","#4C4C4C","5000268"
"minecraft:dead_fire_coral_wall_fan","#4C4C4C","5000268"
"minecraft:dead_horn_coral","#4C4C4C","5000268"
"minecraft:dead_horn_coral_block","#4C4C4C","5000268"
"minecraft:dead_horn_coral_fan","#4C4C4C","5000268"
"minecraft:dead_horn_coral_wall_fan","#4C4C4C","5000268"
"minecraft:dead_tube_coral","#4C4C4C","5000268"
"minecraft:dead_tube_coral_block","#4C4C4C","5000268"
"minecraft:dead_tube_coral_fan","#4C4C4C","5000268"
"minecraft:dead_tube_coral_wall_fan","#4C4C4C","5000268"
"minecraft:decorated_pot","#8E3C2E","9321518"
"minecraft:deepslate","#646464","6579300"
"minecraft:deepslate_brick_slab","#646464","6579300"
"minecraft:deepslate_brick_stairs","#646464","6579300"
"minecraft:deepslate_brick_wall","#646464","6579300"
"minecraft:deepslate_bricks","#646464","6579300"
"minecraft:deepslate_coal_ore","#646464","6579300"
"minecraft:deepslate_copper_ore","#646464","6579300"
"minecraft:deepslate_diamond_ore","#646464","6579300"
"minecraft:deepslate_emerald_ore","#646464","6579300"
"minecraft:deepslate_gold_ore","#646464","6579300"
"minecraft:deepslate_iron_ore","#646464","6579300"
"minecraft:deepslate_lapis_ore","#646464","6579300"
"minecraft:deepslate_redstone_ore","#646464","6579300"
"minecraft:deepslate_tile_slab","#646464","6579300"
"minecraft:deepslate_tile_stairs","#646464","6579300"
"minecraft:deepslate_tile_wall","#646464","6579300"
"minecraft:deepslate_tiles","#646464","6579300"
"minecraft:detector_rail","#000000","0"
"minecraft:diamond_block","#5CDBD5","6085589"
"minecraft:diamond_ore","#707070","7368816"
"minecraft:diorite","#FFFCF5","16776437"
"minecraft:diorite_slab","#FFFCF5","16776437"
"minecraft:diorite_stairs","#FFFCF5","16776437"
"minecraft:diorite_wall","#FFFCF5","16776437"
"minecraft:dirt","#976D4D","9923917"
"minecraft:dirt_path","#976D4D","9923917"
"minecraft:dispenser","#707070","7368816"
"minecraft:dragon_egg","#191919","1644825"
"minecraft:dragon_head","#000000","0"
"minecraft:dragon_wall_head","#000000","0"
"minecraft:dried_kelp_block","#667F33","6717235"
"minecraft:dripstone_block","#4C3223","4993571"
"minecraft:dropper","#707070","7368816"
"minecraft:emerald_block","#00D93A","55610"
"minecraft:emerald_ore","#707070","7368816"
"minecraft:enchanting_table","#993333","10040115"
"minecraft:end_gateway","#191919","1644825"
"minecraft:end_portal","#191919","1644825"
"minecraft:end_portal_frame","#667F33","6717235"
"minecraft:end_rod","#000000","0"
"minecraft:end_stone","#F7E9A3","16247203"
"minecraft:end_stone_brick_slab","#F7E9A3","16247203"
"minecraft:end_stone_brick_stairs","#F7E9A3","16247203"
"minecraft:end_stone_brick_wall","#F7E9A3","16247203"
"minecraft:end_stone_bricks","#F7E9A3","16247203"
"minecraft:ender_chest","#707070","7368816"
"minecraft:exposed_copper","#876B62","8874850"
"minecraft:exposed_cut_copper","#876B62","8874850"
"minecraft:exposed_cut_copper_slab","#876B62","8874850"
"minecraft:exposed_cut_copper_stairs","#876B62","8874850"
"minecraft:farmland","#976D4D","9923917"
"minecraft:fern","#007C00","31744"
"minecraft:fire","#FF0000","16711680"
"minecraft:fire_coral","#993333","10040115"
"minecraft:fire_coral_block","#993333","10040115"
"minecraft:fire_coral_fan","#993333","10040115"
"minecraft:fire_coral_wall_fan","#993333","10040115"
"minecraft:fletching_table","#8F7748","9402184"
"minecraft:flower_pot","#000000","0"
"minecraft:flowering_azalea","#007C00","31744"
"minecraft:flowering_azalea_leaves","#007C00","31744"
"minecraft:frogspawn","#4040FF","4210943"
"minecraft:frosted_ice","#A0A0FF","10526975"
"minecraft:furnace","#707070","7368816"
"minecraft:gilded_blackstone","#191919","1644825"
"minecraft:glass","#000000","0"
"minecraft:glass_pane","#000000","0"
"minecraft:glow_lichen","#7FA796","8365974"
"minecraft:glowstone","#F7E9A3","16247203"
"minecraft:gold_block","#FAEE4D","16445005"
"minecraft:gold_ore","#707070","7368816"
"minecraft:granite","#976D4D","9923917"
"minecraft:granite_slab","#976D4D","9923917"
"minecraft:granite_stairs","#976D4D","9923917"
"minecraft:granite_wall","#976D4D","9923917"
"minecraft:grass","#007C00","31744"
"minecraft:grass_block","#7FB238","8368696"
"minecraft:gravel","#707070","7368816"
"minecraft:gray_banner","#8F7748","9402184"
"minecraft:gray_bed","#4C4C4C","5000268"
"minecraft:gray_candle","#4C4C4C","5000268"
"minecraft:gray_candle_cake","#000000","0"
"minecraft:gray_carpet","#4C4C4C","5000268"
"minecraft:gray_concrete","#4C4C4C","5000268"
"minecraft:gray_concrete_powder","#4C4C4C","5000268"
"minecraft:gray_glazed_terracotta","#4C4C4C","5000268"
"minecraft:gray_shulker_box","#4C4C4C","5000268"
"minecraft:gray_stained_glass","#4C4C4C","5000268"
"minecraft:gray_stained_glass_pane","#000000","0"
"minecraft:gray_terracotta","#392923","3746083"
"minecraft:gray_wall_banner","#8F7748","9402184"
"minecraft:gray_wool","#4C4C4C","5000268"
"minecraft:green_banner","#8F7748","9402184"
"minecraft:green_bed","#667F33","6717235"
"minecraft:green_candle","#667F33","6717235"
"minecraft:green_candle_cake","#000000","0"
"minecraft:green_carpet","#667F33","6717235"
"minecraft:green_concrete","#667F33","6717235"
"minecraft:green_concrete_powder","#667F33","6717235"
"minecraft:green_glazed_terracotta","#667F33","6717235"
"minecraft:green_shulker_box","#667F33","6717235"
"minecraft:green_stained_glass","#667F33","6717235"
"minecraft:green_stained_glass_pane","#000000","0"
"minecraft:green_terracotta","#4C522A","5001770"
"minecraft:green_wall_banner","#8F7748","9402184"
"minecraft:green_wool","#667F33","6717235"
"minecraft:grindstone","#A7A7A7","10987431"
"minecraft:hanging_roots","#976D4D","9923917"
"minecraft:hay_block","#E5E533","15066419"
"minecraft:heavy_weighted_pressure_plate","#A7A7A7","10987431"
"minecraft:honey_block","#D87F33","14188339"
"minecraft:honeycomb_block","#D87F33","14188339"
"minecraft:hopper","#707070","7368816"
"minecraft:horn_coral","#E5E533","15066419"
"minecraft:horn_coral_block","#E5E533","15066419"
"minecraft:horn_coral_fan","#E5E533","15066419"
"minecraft:horn_coral_wall_fan","#E5E533","15066419"
"minecraft:ice","#A0A0FF","10526975"
"minecraft:infested_chiseled_stone_bricks","#A4A8B8","10791096"
"minecraft:infested_cobblestone","#A4A8B8","10791096"
"minecraft:infested_cracked_stone_bricks","#A4A8B8","10791096"
"minecraft:infested_deepslate","#646464","6579300"
"minecraft:infested_mossy_stone_bricks","#A4A8B8","10791096"
"minecraft:infested_stone","#A4A8B8","10791096"
"minecraft:infested_stone_bricks","#A4A8B8","10791096"
"minecraft:iron_bars","#000000","0"
"minecraft:iron_block","#A7A7A7","10987431"
"minecraft:iron_door","#A7A7A7","10987431"
"minecraft:iron_ore","#707070","7368816"
"minecraft:iron_trapdoor","#A7A7A7","10987431"
"minecraft:jack_o_lantern","#D87F33","14188339"
"minecraft:jigsaw","#999999","10066329"
"minecraft:jukebox","#976D4D","9923917"
"minecraft:jungle_button","#000000","0"
"minecraft:jungle_door","#976D4D","9923917"
"minecraft:jungle_fence","#976D4D","9923917"
"minecraft:jungle_fence_gate","#976D4D","9923917"
"minecraft:jungle_hanging_sign","#976D4D","9923917"
"minecraft:jungle_leaves","#007C00","31744"
"minecraft:jungle_log","#976D4D","9923917"
"minecraft:jungle_planks","#976D4D","9923917"
"minecraft:jungle_pressure_plate","#976D4D","9923917"
"minecraft:jungle_sapling","#007C00","31744"
"minecraft:jungle_sign","#976D4D","9923917"
"minecraft:jungle_slab","#976D4D","9923917"
"minecraft:jungle_stairs","#976D4D","9923917"
"minecraft:jungle_trapdoor","#976D4D","9923917"
"minecraft:jungle_wall_hanging_sign","#976D4D","9923917"
"minecraft:jungle_wall_sign","#976D4D","9923917"
"minecraft:jungle_wood","#976D4D","9923917"
"minecraft:kelp","#4040FF","4210943"
"minecraft:kelp_plant","#4040FF","4210943"
"minecraft:ladder","#000000","0"
"minecraft:lantern","#A7A7A7","10987431"
"minecraft:lapis_block","#4A80FF","4882687"
"minecraft:lapis_ore","#707070","7368816"
"minecraft:large_amethyst_bud","#7F3FB2","8339378"
"minecraft:large_fern","#007C00","31744"
"minecraft:lava","#FF0000","16711680"
"minecraft:lava_cauldron","#707070","7368816"
"minecraft:lectern","#8F7748","9402184"
"minecraft:lever","#000000","0"
"minecraft:light","#000000","0"
"minecraft:light_blue_banner","#8F7748","9402184"
"minecraft:light_blue_bed","#6699D8","6724056"
"minecraft:light_blue_candle","#6699D8","6724056"
"minecraft:light_blue_candle_cake","#000000","0"
"minecraft:light_blue_carpet","#6699D8","6724056"
"minecraft:light_blue_concrete","#6699D8","6724056"
"minecraft:light_blue_concrete_powder","#6699D8","6724056"
"minecraft:light_blue_glazed_terracotta","#6699D8","6724056"
"minecraft:light_blue_shulker_box","#6699D8","6724056"
"minecraft:light_blue_stained_glass","#6699D8","6724056"
"minecraft:light_blue_stained_glass_pane","#000000","0"
"minecraft:light_blue_terracotta","#706C8A","7367818"
"minecraft:light_blue_wall_banner","#8F7748","9402184"
"minecraft:light_blue_wool","#6699D8","6724056"
"minecraft:light_gray_banner","#8F7748","9402184"
"minecraft:light_gray_bed","#999999","10066329"
"minecraft:light_gray_candle","#999999","10066329"
"minecraft:light_gray_candle_cake","#000000","0"
"minecraft:light_gray_carpet","#999999","10066329"
"minecraft:light_gray_concrete","#999999","10066329"
"minecraft:light_gray_concrete_powder","#999999","10066329"
"minecraft:light_gray_glazed_terracotta","#999999","10066329"
"minecraft:light_gray_shulker_box","#999999","10066329"
"minecraft:light_gray_stained_glass","#999999","10066329"
"minecraft:light_gray_stained_glass_pane","#000000","0"
"minecraft:light_gray_terracotta","#876B62","8874850"
"minecraft:light_gray_wall_banner","#8F7748","9402184"
"minecraft:light_gray_wool","#999999","10066329"
"minecraft:light_weighted_pressure_plate","#FAEE4D","16445005"
"minecraft:lightning_rod","#D87F33","14188339"
"minecraft:lilac","#007C00","31744"
"minecraft:lily_of_the_valley","#007C00","31744"
"minecraft:lily_pad","#007C00","31744"
"minecraft:lime_banner","#8F7748","9402184"
"minecraft:lime_bed","#7FCC19","8375321"
"minecraft:lime_candle","#7FCC19","8375321"
"minecraft:lime_candle_cake","#000000","0"
"minecraft:lime_carpet","#7FCC19","8375321"
"minecraft:lime_concrete","#7FCC19","8375321"
"minecraft:lime_concrete_powder","#7FCC19","8375321"
"minecraft:lime_glazed_terracotta","#7FCC19","8375321"
"minecraft:lime_shulker_box","#7FCC19","8375321"
"minecraft:lime_stained_glass","#7FCC19","8375321"
"minecraft:lime_stained_glass_pane","#000000","0"
"minecraft:lime_terracotta","#677535","6780213"
"minecraft:lime_wall_banner","#8F7748","9402184"
"minecraft:lime_wool","#7FCC19","8375321"
"minecraft:lodestone","#A7A7A7","10987431"
"minecraft:loom","#8F7748","9402184"
"minecraft:magenta_banner","#8F7748","9402184"
"minecraft:magenta_bed","#B24CD8","11685080"
"minecraft:magenta_candle","#B24CD8","11685080"
"minecraft:magenta_candle_cake","#000000","0"
"minecraft:magenta_carpet","#B24CD8","11685080"
"minecraft:magenta_concrete","#B24CD8","11685080"
"minecraft:magenta_concrete_powder","#B24CD8","11685080"
"minecraft:magenta_glazed_terracotta","#B24CD8","11685080"
"minecraft:magenta_shulker_box","#B24CD8","11685080"
"minecraft:magenta_stained_glass","#B24CD8","11685080"
"minecraft:magenta_stained_glass_pane","#000000","0"
"minecraft:magenta_terracotta","#95576C","9787244"
"minecraft:magenta_wall_banner","#8F7748","9402184"
"minecraft:magenta_wool","#B24CD8","11685080"
"minecraft:magma_block","#700200","7340544"
"minecraft:mangrove_button","#000000","0"
"minecraft:mangrove_door","#993333","10040115"
"minecraft:mangrove_fence","#993333","10040115"
"minecraft:mangrove_fence_gate","#993333","10040115"
"minecraft:mangrove_hanging_sign","#993333","10040115"
"minecraft:mangrove_leaves","#007C00","31744"
"minecraft:mangrove_log","#993333","10040115"
"minecraft:mangrove_planks","#993333","10040115"
"minecraft:mangrove_pressure_plate","#993333","10040115"
"minecraft:mangrove_propagule","#007C00","31744"
"minecraft:mangrove_roots","#815631","8476209"
"minecraft:mangrove_sign","#993333","10040115"
"minecraft:mangrove_slab","#993333","10040115"
"minecraft:mangrove_stairs","#993333","10040115"
"minecraft:mangrove_trapdoor","#993333","10040115"
"minecraft:mangrove_wall_hanging_sign","#993333","10040115"
"minecraft:mangrove_wall_sign","#993333","10040115"
"minecraft:mangrove_wood","#993333","10040115"
"minecraft:medium_amethyst_bud","#7F3FB2","8339378"
"minecraft:melon","#7FCC19","8375321"
"minecraft:melon_stem","#007C00","31744"
"minecraft:moss_block","#667F33","6717235"
"minecraft:moss_carpet","#667F33","6717235"
"minecraft:mossy_cobblestone","#707070","7368816"
"minecraft:mossy_cobblestone_slab","#707070","7368816"
"minecraft:mossy_cobblestone_stairs","#707070","7368816"
"minecraft:mossy_cobblestone_wall","#707070","7368816"
"minecraft:mossy_stone_brick_slab","#707070","7368816"
"minecraft:mossy_stone_brick_stairs","#707070","7368816"
"minecraft:mossy_stone_brick_wall","#707070","7368816"
"minecraft:mossy_stone_bricks","#707070","7368816"
"minecraft:moving_piston","#707070","7368816"
"minecraft:mud","#575C5C","5725276"
"minecraft:mud_brick_slab","#876B62","8874850"
"minecraft:mud_brick_stairs","#876B62","8874850"
"minecraft:mud_brick_wall","#876B62","8874850"
"minecraft:mud_bricks","#876B62","8874850"
"minecraft:muddy_mangrove_roots","#815631","8476209"
"minecraft:mushroom_stem","#C7C7C7","13092807"
"minecraft:mycelium","#7F3FB2","8339378"
"minecraft:nether_brick_fence","#700200","7340544"
"minecraft:nether_brick_slab","#700200","7340544"
"minecraft:nether_brick_stairs","#700200","7340544"
"minecraft:nether_brick_wall","#700200","7340544"
"minecraft:nether_bricks","#700200","7340544"
"minecraft:nether_gold_ore","#700200","7340544"
"minecraft:nether_portal","#000000","0"
"minecraft:nether_quartz_ore","#700200","7340544"
"minecraft:nether_sprouts","#4C7F99","5013401"
"minecraft:nether_wart","#993333","10040115"
"minecraft:nether_wart_block","#993333","10040115"
"minecraft:netherite_block","#191919","1644825"
"minecraft:netherrack","#700200","7340544"
"minecraft:note_block","#8F7748","9402184"
"minecraft:oak_button","#000000","0"
"minecraft:oak_door","#8F7748","9402184"
"minecraft:oak_fence","#8F7748","9402184"
"minecraft:oak_fence_gate","#8F7748","9402184"
"minecraft:oak_hanging_sign","#8F7748","9402184"
"minecraft:oak_leaves","#007C00","31744"
"minecraft:oak_log","#8F7748","9402184"
"minecraft:oak_planks","#8F7748","9402184"
"minecraft:oak_pressure_plate","#8F7748","9402184"
"minecraft:oak_sapling","#007C00","31744"
"minecraft:oak_sign","#8F7748","9402184"
"minecraft:oak_slab","#8F7748","9402184"
"minecraft:oak_stairs","#8F7748","9402184"
"minecraft:oak_trapdoor","#8F7748","9402184"
"minecraft:oak_wall_hanging_sign","#8F7748","9402184"
"minecraft:oak_wall_sign","#8F7748","9402184"
"minecraft:oak_wood","#8F7748","9402184"
"minecraft:observer","#707070","7368816"
"minecraft:obsidian","#191919","1644825"
"minecraft:ochre_froglight","#F7E9A3","16247203"
"minecraft:orange_banner","#8F7748","9402184"
"minecraft:orange_bed","#D87F33","14188339"
"minecraft:orange_candle","#D87F33","14188339"
"minecraft:orange_candle_cake","#000000","0"
"minecraft:orange_carpet","#D87F33","14188339"
"minecraft:orange_concrete","#D87F33","14188339"
"minecraft:orange_concrete_powder","#D87F33","14188339"
"minecraft:orange_glazed_terracotta","#D87F33","14188339"
"minecraft:orange_shulker_box","#D87F33","14188339"
"minecraft:orange_stained_glass","#D87F33","14188339"
"minecraft:orange_stained_glass_pane","#000000","0"
"minecraft:orange_terracotta","#9F5224","10441252"
"minecraft:orange_tulip","#007C00","31744"
"minecraft:orange_wall_banner","#8F7748","9402184"
"minecraft:orange_wool","#D87F33","14188339"
"minecraft:oxeye_daisy","#007C00","31744"
"minecraft:oxidized_copper","#167E86","1474182"
"minecraft:oxidized_cut_copper","#167E86","1474182"
"minecraft:oxidized_cut_copper_slab","#167E86","1474182"
"minecraft:oxidized_cut_copper_stairs","#167E86","1474182"
"minecraft:packed_ice","#A0A0FF","10526975"
"minecraft:packed_mud","#976D4D","9923917"
"minecraft:pearlescent_froglight","#F27FA5","15892389"
"minecraft:peony","#007C00","31744"
"minecraft:petrified_oak_slab","#8F7748","9402184"
"minecraft:piglin_head","#000000","0"
"minecraft:piglin_wall_head","#000000","0"
"minecraft:pink_banner","#8F7748","9402184"
"minecraft:pink_bed","#F27FA5","15892389"
"minecraft:pink_candle","#F27FA5","15892389"
"minecraft:pink_candle_cake","#000000","0"
"minecraft:pink_carpet","#F27FA5","15892389"
"minecraft:pink_concrete","#F27FA5","15892389"
"minecraft:pink_concrete_powder","#F27FA5","15892389"
"minecraft:pink_glazed_terracotta","#F27FA5","15892389"
"minecraft:pink_petals","#007C00","31744"
"minecraft:pink_shulker_box","#F27FA5","15892389"
"minecraft:pink_stained_glass","#F27FA5","15892389"
"minecraft:pink_stained_glass_pane","#000000","0"
"minecraft:pink_terracotta","#A04D4E","10505550"
"minecraft:pink_tulip","#007C00","31744"
"minecraft:pink_wall_banner","#8F7748","9402184"
"minecraft:pink_wool","#F27FA5","15892389"
"minecraft:piston","#707070","7368816"
"minecraft:piston_head","#707070","7368816"
"minecraft:pitcher_crop","#007C00","31744"
"minecraft:pitcher_plant","#007C00","31744"
"minecraft:player_head","#000000","0"
"minecraft:player_wall_head","#000000","0"
"minecraft:podzol","#815631","8476209"
"minecraft:pointed_dripstone","#4C3223","4993571"
"minecraft:polished_andesite","#707070","7368816"
"minecraft:polished_andesite_slab","#707070","7368816"
"minecraft:polished_andesite_stairs","#707070","7368816"
"minecraft:polished_basalt","#191919","1644825"
"minecraft:polished_blackstone","#191919","1644825"
"minecraft:polished_blackstone_brick_slab","#191919","1644825"
"minecraft:polished_blackstone_brick_stairs","#191919","1644825"
"minecraft:polished_blackstone_brick_wall","#191919","1644825"
"minecraft:polished_blackstone_bricks","#191919","1644825"
"minecraft:polished_blackstone_button","#000000","0"
"minecraft:polished_blackstone_pressure_plate","#191919","1644825"
"minecraft:polished_blackstone_slab","#191919","1644825"
"minecraft:polished_blackstone_stairs","#191919","1644825"
"minecraft:polished_blackstone_wall","#191919","1644825"
"minecraft:polished_deepslate","#646464","6579300"
"minecraft:polished_deepslate_slab","#646464","6579300"
"minecraft:polished_deepslate_stairs","#646464","6579300"
"minecraft:polished_deepslate_wall","#646464","6579300"
"minecraft:polished_diorite","#FFFCF5","16776437"
"minecraft:polished_diorite_slab","#FFFCF5","16776437"
"minecraft:polished_diorite_stairs","#FFFCF5","16776437"
"minecraft:polished_granite","#976D4D","9923917"
"minecraft:polished_granite_slab","#976D4D","9923917"
"minecraft:polished_granite_stairs","#976D4D","9923917"
"minecraft:poppy","#007C00","31744"
"minecraft:potatoes","#007C00","31744"
"minecraft:potted_acacia_sapling","#000000","0"
"minecraft:potted_allium","#000000","0"
"minecraft:potted_azalea_bush","#000000","0"
"minecraft:potted_azure_bluet","#000000","0"
"minecraft:potted_bamboo","#000000","0"
"minecraft:potted_birch_sapling","#000000","0"
"minecraft:potted_blue_orchid","#000000","0"
"minecraft:potted_brown_mushroom","#000000","0"
"minecraft:potted_cactus","#000000","0"
"minecraft:potted_cherry_sapling","#000000","0"
"minecraft:potted_cornflower","#000000","0"
"minecraft:potted_crimson_fungus","#000000","0"
"minecraft:potted_crimson_roots","#000000","0"
"minecraft:potted_dandelion","#000000","0"
"minecraft:potted_dark_oak_sapling","#000000","0"
"minecraft:potted_dead_bush","#000000","0"
"minecraft:potted_fern","#000000","0"
"minecraft:potted_flowering_azalea_bush","#000000","0"
"minecraft:potted_jungle_sapling","#000000","0"
"minecraft:potted_lily_of_the_valley","#000000","0"
"minecraft:potted_mangrove_propagule","#000000","0"
"minecraft:potted_oak_sapling","#000000","0"
"minecraft:potted_orange_tulip","#000000","0"
"minecraft:potted_oxeye_daisy","#000000","0"
"minecraft:potted_pink_tulip","#000000","0"
"minecraft:potted_poppy","#000000","0"
"minecraft:potted_red_mushroom","#000000","0"
"minecraft:potted_red_tulip","#000000","0"
"minecraft:potted_spruce_sapling","#000000","0"
"minecraft:potted_torchflower","#000000","0"
"minecraft:potted_warped_fungus","#000000","0"
"minecraft:potted_warped_roots","#000000","0"
"minecraft:potted_white_tulip","#000000","0"
"minecraft:potted_wither_rose","#000000","0"
"minecraft:powder_snow","#FFFFFF","16777215"
"minecraft:powder_snow_cauldron","#707070","7368816"
"minecraft:powered_rail","#000000","0"
"minecraft:prismarine","#4C7F99","5013401"
"minecraft:prismarine_brick_slab","#5CDBD5","6085589"
"minecraft:prismarine_brick_stairs","#5CDBD5","6085589"
"minecraft:prismarine_bricks","#5CDBD5","6085589"
"minecraft:prismarine_slab","#4C7F99","5013401"
"minecraft:prismarine_stairs","#4C7F99","5013401"
"minecraft:prismarine_wall","#4C7F99","5013401"
"minecraft:pumpkin","#D87F33","14188339"
"minecraft:pumpkin_stem","#007C00","31744"
"minecraft:purple_banner","#8F7748","9402184"
"minecraft:purple_bed","#7F3FB2","8339378"
"minecraft:purple_candle","#7F3FB2","8339378"
"minecraft:purple_candle_cake","#000000","0"
"minecraft:purple_carpet","#7F3FB2","8339378"
