"ID","Registry name","Tags"
22,"minecraft:dripstone_caves","frycmobvariants:underground_biomes, rottencreatures:can_undead_miner_spawn_on, minecraft:stronghold_biased_to, betterstrongholds:has_structure/better_stronghold, c:is_overworld, spectrum:has_structure/preservation_ruins, endermanoverhaul:cave_spawns, minecraft:is_overworld, creeperoverhaul:is_cave, spectrum:has_structure/pedestal_ruins, wabi_sabi_structures:has_structure/bat_monolith, c:is_wet/overworld, minecraft:has_structure/portal_deepslate, philipsruins:has_structure/bone_dungeon_biomes, c:is_cave, c:is_sparse, nova_structures:collections/caves, naturalist:has_snail, mostructures:collections/caves, minecraft:has_structure/mineshaft, supplementaries:has_way_signs, c:is_underground, minecraft:has_structure/stronghold, c:caves, nova_structures:collections/illager_camps, c:underground, c:is_sparse/overworld, c:is_wet, supplementaries:has_wild_flax, philipsruins:has_structure/ancient_dungeon_biomes, spectral_seas:no_amethyst, wabi_sabi_structures:has_structure/monster_egg, supplementaries:has_cave_urns, hybrid-aquatic:caves, endermanoverhaul:all_spawns, nova_structures:collections/overworld, nova_structures:illager_hideout, c:in_overworld, philipsruins:has_structure/lost_soul_city_biomes"
23,"minecraft:end_barrens","c:is_outer_end_island, mostructures:collections/end_voids, nova_structures:collections/end_voids, c:is_dry, minecraft:is_end, c:is_cold/end, c:is_end, nova_structures:collections/end, minecraft:spawns_cold_variant_frogs, wabi_sabi_structures:has_structure/ender_claw, endermanoverhaul:end_spawns, c:is_cold, c:is_dry/end, c:in_the_end"
24,"minecraft:end_highlands","mostructures:collections/end_island_land, minecraft:spawns_cold_variant_frogs, c:is_outer_end_island, philipsruins:has_structure/end_ruins_biomes, c:is_cold/end, c:is_dry/end, c:in_the_end, mvs:has_structure/end_biomes, c:is_cold, nova_structures:collections/end, endermanoverhaul:end_spawns, minecraft:has_structure/end_city, endermanoverhaul:end_islands_spawns, c:is_end, wabi_sabi_structures:has_structure/chorus_orchard, c:is_dry, minecraft:is_end"
25,"minecraft:end_midlands","c:is_dry/end, endermanoverhaul:end_spawns, endermanoverhaul:end_islands_spawns, c:is_cold, mostructures:collections/end_island_land, minecraft:spawns_cold_variant_frogs, minecraft:is_end, c:is_dry, minecraft:has_structure/end_city, c:is_cold/end, c:is_end, nova_structures:collections/end, c:in_the_end, c:is_outer_end_island, philipsruins:has_structure/end_ruins_biomes"
26,"minecraft:eroded_badlands","minecraft:spawns_warm_variant_frogs, totw_reworked:has_structure/derelict_tower, c:is_overworld, c:is_hot/overworld, supplementaries:has_way_signs, supplementaries:has_cave_urns, c:is_hot, minecraft:has_structure/stronghold, endermanoverhaul:badlands_spawns, minecraft:is_overworld, totw_reworked:has_structure/regular_tower, c:is_dry, c:is_badlands, endermanoverhaul:cave_spawns, c:is_dry/overworld, spectral_seas:no_amethyst, c:climate_hot, philipsruins:has_structure/ancient_dungeon_biomes, naturalist:has_rattlesnake, spectrum:has_structure/preservation_ruins, philipsruins:has_structure/badlands_structures_biomes, minecraft:is_badlands, spectrum:colored_trees_generating_in, supplementaries:has_wild_flax, c:is_sparse/overworld, philipsruins:has_structure/ancient_pyramid_biomes, c:climate_dry, c:mesa, endermanoverhaul:all_spawns, minecraft:snow_golem_melts, naturalist:has_vulture, c:is_sparse, forsaken:has_structure/homes/western, c:badlands, minecraft:has_structure/mineshaft_mesa, c:in_overworld, minecraft:stronghold_biased_to, mostructures:collections/badlands, spectrum:dragonbone_fossils_generating_in, nova_structures:illager_hideout, betterstrongholds:has_structure/better_stronghold, rottencreatures:can_undead_miner_spawn_on, c:is_rare, nova_structures:collections/illager_camps, formationsoverworld:has_structure/meteor, nova_structures:collections/overworld, nova_structures:collections/badlands"
27,"minecraft:flower_forest","nova_structures:illager_hideout, c:flower_forests, totw_reworked:has_structure/regular_tower, minecraft:is_forest, formationsoverworld:has_structure/well, formationsoverworld:has_structure/meteor, betterstrongholds:has_structure/better_stronghold, forsaken:has_structure/wells/washhouse, endermanoverhaul:all_spawns, c:floral, naturalist:has_boar, naturalist:has_lizard, wabi_sabi_structures:has_structure/water_tower_forest, philipsruins:has_structure/ancient_dungeon_biomes, naturalist:has_finch, formationsoverworld:has_structure/tiny_house, minecraft:has_structure/portal_deepslate, philipsruins:has_structure/bone_dungeon_biomes, naturalist:has_robin, towns_and_towers:has_structure/pillager_outpost_flower_forest, nova_structures:collections/any_forests, forsaken:has_structure/wells/pit/cobble, formationsoverworld:has_structure/copper_spire, mvs:has_structure/flower_biomes, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, naturalist:has_cardinal, philipsruins:has_structure/field_stone_ruins_rocks_biomes, naturalist:has_snake, philipsruins:has_structure/lost_soul_city_biomes, mvs:has_structure/overworld_biomes, wabi_sabi_structures:has_structure/woody_camp, nova_structures:collections/illager_camps, philipsruins:has_structure/ancient_towers_biomes, endermanoverhaul:cave_spawns, c:is_tree/deciduous, mostructures:collections/floral, philipsruins:has_structure/pumpkin_ruins_biomes, formationsoverworld:has_structure/witch_tower, naturalist:has_bear, naturalist:has_deer, forsaken:has_structure/homes/oak, nova_structures:collection/stronghold_related_ruins_biomes, wabi_sabi_structures:has_structure/firewatch_tower, forsaken:has_structure/wells/rustic/birch, minecraft:stronghold_biased_to, endermanoverhaul:flower_fields_spawns, nova_structures:has_structure/ruin_town, formationsoverworld:has_structure/small_house, formationsoverworld:has_structure/stone_tower, supplementaries:has_wild_flax, spectrum:has_structure/pedestal_ruins, wabi_sabi_structures:has_structure/hide_tannery_oak, formationsoverworld:has_structure/log_spikes, nova_structures:collections/overworld, c:is_rare, c:in_overworld, spectrum:colored_trees_generating_in, philipsruins:has_structure/ancient_ruins_biomes, spectral_seas:no_amethyst, mostructures:has_structure/tavern, c:is_overworld, forsaken:has_structure/wells/rustic/oak, formationsoverworld:has_structure/campsite, formationsoverworld:has_structure/offering, c:is_flower_forest, mostructures:has_structure/killer_bunny_castle, nova_structures:collections/floral, formationsoverworld:has_structure/tower_remnant, towns_and_towers:has_structure/village_flower_forest_japanese, wabi_sabi_structures:has_structure/monster_egg, formationsoverworld:has_structure/graveyard, formationsoverworld:has_structure/hobbit_hole, supplementaries:has_way_signs, rottencreatures:can_undead_miner_spawn_on, wabi_sabi_structures:has_structure/bat_monolith, formationsoverworld:has_structure/stone_ore_spikes, formationsoverworld:has_structure/small_statue, c:is_forest, c:tree_deciduous, mostructures:has_structure/villager_tower, mostructures:has_structure/villager_market, minecraft:is_overworld, spectrum:has_structure/preservation_ruins, supplementaries:has_cave_urns, nova_structures:collections/stronghold_related_ruins_biomes, forsaken:has_structure/wells/pump/cobble, c:is_floral, mostructures:collections/any_forests, formationsoverworld:has_structure/log_shelter, wabi_sabi_structures:has_structure/bee_farm_forest, c:forest, naturalist:has_snail"
28,"minecraft:forest","mvs:has_structure/oak_biomes, wabi_sabi_structures:has_structure/mossy_roof_shed, naturalist:has_bear, formationsoverworld:has_structure/witch_tower, philipsruins:has_structure/field_stone_ruins_rocks_biomes, wabi_sabi_structures:has_structure/monster_egg, minecraft:has_structure/portal_deepslate, c:tree_deciduous, formationsoverworld:has_structure/offering, wabi_sabi_structures:has_structure/water_tower_forest, minecraft:is_overworld, totw_reworked:has_structure/regular_tower, wabi_sabi_structures:has_structure/mossy_roof_house, c:forest, mvs:has_structure/birch_biomes, c:is_forest, mostructures:collections/any_forests, naturalist:has_boar, mostructures:has_structure/tavern, nova_structures:collections/oak_structure_biomes, philipsruins:has_structure/ancient_ruins_biomes, wabi_sabi_structures:has_structure/bat_monolith, formationsoverworld:has_structure/log_shelter, wabi_sabi_structures:has_structure/woody_camp, nova_structures:collections/any_forests, minecraft:has_structure/mineshaft, naturalist:has_snail, forsaken:has_structure/homes/oak, philipsruins:has_structure/pumpkin_ruins_biomes, wabi_sabi_structures:has_structure/old_fort, nova_structures:has_structure/ruin_town, formationsoverworld:has_structure/small_statue, totw_reworked:has_structure/derelict_grass_tower, mostructures:has_structure/villager_tower, minecraft:stronghold_biased_to, formationsoverworld:has_structure/meteor, mvs:has_structure/overworld_biomes, nova_structures:collections/overworld, mostructures:has_structure/villager_market, nova_structures:collections/stronghold_related_ruins_biomes, mostructures:collections/regular_forests, wabi_sabi_structures:has_structure/carrot_patch, formationsoverworld:has_structure/graveyard, c:is_overworld, supplementaries:has_way_signs, supplementaries:has_cave_urns, naturalist:has_robin, formationsoverworld:has_structure/campsite, minecraft:has_structure/stronghold, c:is_temperate/overworld, formationsoverworld:has_structure/well, naturalist:has_snake, nova_structures:collections/regular_forests, naturalist:has_cardinal, mostructures:has_structure/killer_bunny_castle, c:is_tree/deciduous, naturalist:has_deer, spectrum:has_structure/pedestal_ruins, formationsoverworld:has_structure/stone_ore_spikes, naturalist:has_lizard, formationsoverworld:has_structure/copper_spire, mvs:has_structure/plains_and_oak_biomes, spectral_seas:no_amethyst, philipsruins:has_structure/ancient_dungeon_biomes, spectrum:has_structure/preservation_ruins, forsaken:has_structure/wells/rustic/oak, spectrum:colored_trees_generating_in, formationsoverworld:has_structure/tiny_house, supplementaries:has_wild_flax, minecraft:is_forest, forsaken:has_structure/wells/pit/cobble, formationsoverworld:has_structure/stone_tower, philipsruins:has_structure/lost_soul_city_biomes, philipsruins:has_structure/ancient_towers_biomes, c:is_temperate, wabi_sabi_structures:has_structure/firewatch_tower, forsaken:has_structure/wells/pump/cobble, c:in_overworld, forsaken:has_structure/wells/washhouse, nova_structures:collection/stronghold_related_ruins_biomes, nova_structures:illager_hideout, betterstrongholds:has_structure/better_stronghold, rottencreatures:can_undead_miner_spawn_on, towns_and_towers:has_structure/pillager_outpost_forest, nova_structures:collections/illager_camps, formationsoverworld:has_structure/small_house, naturalist:has_finch, formationsoverworld:has_structure/log_spikes, wabi_sabi_structures:has_structure/rot_tree, formationsoverworld:has_structure/tower_remnant, towns_and_towers:has_structure/village_forest_ruins, philipsruins:has_structure/bone_dungeon_biomes, formationsoverworld:has_structure/hobbit_hole, c:climate_temperate"
29,"minecraft:frozen_ocean","c:is_ocean, nova_structures:collections/overworld, minecraft:has_structure/ocean_ruin_cold, nova_structures:collections/oceans, c:ocean, c:aquatic_icy, c:is_cold/overworld, c:climate_wet, minecraft:is_ocean, c:is_wet, minecraft:spawns_white_rabbits, minecraft:polar_bears_spawn_on_alternate_blocks, spectrum:has_structure/preservation_ruins, c:is_cold, c:is_aquatic_icy, c:is_wet/overworld, c:is_shallow_ocean, c:is_overworld, spectral_seas:no_amethyst, c:is_aquatic, philipsruins:has_structure/ancient_dungeon_biomes, supplementaries:has_wild_flax, spectrum:mermaids_brushes_generating_in, c:in_overworld, minecraft:spawns_snow_foxes, minecraft:is_overworld, hybrid-aquatic:shallow_arctic_oceans, wabi_sabi_structures:has_structure/monster_egg, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_cave_urns, minecraft:has_structure/mineshaft, minecraft:plays_underwater_music, spectrum:has_structure/pedestal_ruins, minecraft:water_on_map_outlines, philipsruins:has_structure/ocean_ruins_biomes, minecraft:required_ocean_monument_surrounding, frycmobvariants:frozen_zombie_spawn_biomes, rottencreatures:can_undead_miner_spawn_on, c:aquatic, c:is_snowy, hybrid-aquatic:arctic_oceans, mostructures:collections/oceans, unseaworthy:sinks_boats, c:shallow_ocean, supplementaries:has_way_signs, c:is_water, minecraft:has_structure/shipwreck, minecraft:spawns_cold_variant_frogs, formationsoverworld:has_structure/raft"
30,"minecraft:frozen_peaks","philipsruins:has_structure/ancient_towers_biomes, spectral_seas:no_amethyst, nova_structures:collections/icy, minecraft:spawns_cold_variant_frogs, c:is_sparse_vegetation, minecraft:has_structure/mineshaft, spectrum:colored_trees_generating_in, c:climate_cold, naturalist:has_canary, minecraft:spawns_snow_foxes, spectrum:has_structure/pedestal_ruins, totw_reworked:has_structure/derelict_grass_tower, naturalist:has_bluejay, wabi_sabi_structures:has_structure/bat_monolith, minecraft:increased_fire_burnout, c:is_mountain/peak, mostructures:collections/mountains, minecraft:stronghold_biased_to, c:mountain_peak, minecraft:spawns_white_rabbits, nova_structures:collections/overworld, c:is_sparse, mostructures:has_structure/ice_tower, supplementaries:has_way_signs, philipsruins:has_structure/ancient_ruins_biomes, c:is_cold, c:is_peak, philipsruins:has_structure/bone_dungeon_biomes, philipsruins:has_structure/lost_soul_city_biomes, minecraft:is_overworld, philipsruins:has_structure/level_two_ruins_biomes, supplementaries:has_cave_urns, mostructures:collections/icy, c:is_overworld, minecraft:has_structure/stronghold, mostructures:has_structure/pillager_mines, minecraft:has_structure/portal_deepslate, minecraft:is_mountain, mostructures:has_structure/pillager_factory, betterstrongholds:has_structure/better_stronghold, c:is_snowy, c:is_mountain, c:is_sparse/overworld, wabi_sabi_structures:has_structure/monster_egg, naturalist:has_snail, c:is_cold/overworld, philipsruins:has_structure/ancient_dungeon_biomes, c:is_icy, rottencreatures:can_undead_miner_spawn_on, totw_reworked:has_structure/derelict_tower, c:mountain, formationsoverworld:has_structure/stone_ore_spikes, formationsoverworld:has_structure/stone_tower, spectrum:has_structure/preservation_ruins, nova_structures:collections/mountains, mvs:has_structure/mountain_biomes, mostructures:has_structure/snowy_abandoned_church, c:icy, supplementaries:has_wild_flax, wabi_sabi_structures:has_structure/wandering_trader_cart_cold, c:in_overworld, totw_reworked:has_structure/regular_tower, naturalist:has_robin, c:is_sparse_vegetation/overworld"
31,"minecraft:frozen_river","minecraft:water_on_map_outlines, minecraft:is_overworld, supplementaries:has_way_signs, nova_structures:collections/illager_camps, c:is_cold, c:aquatic_icy, supplementaries:has_wild_flax, c:is_aquatic, c:is_overworld, rottencreatures:can_undead_miner_spawn_on, nova_structures:collections/overworld, c:is_snowy, minecraft:plays_underwater_music, c:is_wet, minecraft:spawns_white_rabbits, minecraft:spawns_snow_foxes, c:river, frycmobvariants:frozen_zombie_spawn_biomes, c:is_cold/overworld, wabi_sabi_structures:has_structure/ice_shanty, spectrum:has_structure/pedestal_ruins, wabi_sabi_structures:has_structure/bat_monolith, nova_structures:illager_hideout, philipsruins:has_structure/ancient_dungeon_biomes, minecraft:required_ocean_monument_surrounding, minecraft:more_frequent_drowned_spawns, naturalist:has_bass, spectrum:has_structure/preservation_ruins, minecraft:has_structure/portal_deepslate, minecraft:has_structure/mineshaft, naturalist:has_duck, minecraft:spawns_cold_variant_frogs, c:is_wet/overworld, minecraft:is_river, c:in_overworld, supplementaries:has_cave_urns, minecraft:reduce_water_ambient_spawns, c:climate_wet, c:aquatic, naturalist:has_snail, naturalist:has_coral_snake, spectral_seas:no_amethyst, c:is_water, wabi_sabi_structures:has_structure/monster_egg, c:is_aquatic_icy, c:is_river"
32,"minecraft:grove","formationsoverworld:has_structure/copper_spire, wabi_sabi_structures:has_structure/monster_egg, nova_structures:illager_hideout, spectrum:has_structure/preservation_ruins, nova_structures:has_structure/ruin_town, c:is_slope, naturalist:has_boar, philipsruins:has_structure/pumpkin_ruins_biomes, formationsoverworld:has_structure/small_house, c:is_mountain, minecraft:is_overworld, mostructures:collections/any_forests, formationsoverworld:has_structure/stone_ore_spikes, formationsoverworld:has_structure/hobbit_hole, minecraft:spawns_white_rabbits, wabi_sabi_structures:has_structure/bat_monolith, betterstrongholds:has_structure/better_stronghold, c:is_cold, nova_structures:collection/stronghold_related_ruins_biomes, philipsruins:has_structure/ancient_towers_biomes, c:forest, towns_and_towers:has_structure/pillager_outpost_grove, c:is_cold/overworld, philipsruins:has_structure/lost_soul_city_biomes, c:is_overworld, nova_structures:collections/snowy_forests, spectral_seas:no_amethyst, minecraft:stronghold_biased_to, c:in_overworld, supplementaries:has_cave_urns, formationsoverworld:has_structure/tiny_house, mostructures:has_structure/killer_bunny_castle, minecraft:spawns_cold_variant_frogs, formationsoverworld:has_structure/log_shelter, philipsruins:has_structure/bone_dungeon_biomes, minecraft:is_forest, mostructures:has_structure/villager_market, formationsoverworld:has_structure/witch_tower, philipsruins:has_structure/field_stone_ruins_rocks_biomes, naturalist:has_cardinal, wabi_sabi_structures:has_structure/wandering_trader_cart_cold, minecraft:has_structure/portal_deepslate, supplementaries:has_way_signs, mostructures:has_structure/tavern, naturalist:has_finch, minecraft:spawns_snow_foxes, naturalist:has_lizard, naturalist:has_snail, minecraft:has_structure/stronghold, c:is_mountain/slope, formationsoverworld:has_structure/tower_remnant, nova_structures:collections/overworld, formationsoverworld:has_structure/graveyard, c:is_forest, totw_reworked:has_structure/regular_tower, nova_structures:collections/illager_camps, supplementaries:has_wild_flax, towns_and_towers:has_structure/village_grove_villager_outpost, formationsoverworld:has_structure/well, minecraft:has_structure/mineshaft, nova_structures:collections/stronghold_related_ruins_biomes, wabi_sabi_structures:has_structure/spruce_berry_farm, c:is_tree/coniferous, formationsoverworld:has_structure/offering, nova_structures:collections/any_forests, c:climate_cold, c:is_coniferous, formationsoverworld:has_structure/small_statue, naturalist:has_robin, nova_structures:collections/snowy_structures, c:tree_coniferous, mostructures:collections/snowy_forests, rottencreatures:can_undead_miner_spawn_on, formationsoverworld:has_structure/stone_tower, forsaken:has_structure/homes/snowy, mostructures:has_structure/villager_tower, formationsoverworld:has_structure/log_spikes, naturalist:has_bear, c:is_snowy, spectrum:colored_trees_generating_in, philipsruins:has_structure/ancient_ruins_biomes, naturalist:has_snake, formationsoverworld:has_structure/campsite, formationsoverworld:has_structure/meteor, philipsruins:has_structure/ancient_dungeon_biomes, spectrum:has_structure/pedestal_ruins, naturalist:has_deer"
33,"spectrum:howling_spires","minecraft:spawns_white_rabbits, minecraft:spawns_snow_foxes, spectrum:in_deeper_down, minecraft:without_zombie_sieges, minecraft:without_wandering_trader_spawns, spectrum:has_structure/forsaken_cathedral, spectrum:has_structure/lizard_den_basal_marble, spectrum:has_structure/excavation_site, minecraft:without_patrol_spawns"
34,"minecraft:ice_spikes","c:is_cold, mostructures:has_structure/pillager_factory, wabi_sabi_structures:has_structure/bat_monolith, rottencreatures:can_undead_miner_spawn_on, minecraft:stronghold_biased_to, mostructures:has_structure/snowy_abandoned_church, supplementaries:has_way_signs, endermanoverhaul:ice_spikes_spawns, naturalist:has_bluejay, betterstrongholds:has_structure/better_stronghold, spectral_seas:no_amethyst, frycmobvariants:frozen_zombie_spawn_biomes, minecraft:is_overworld, supplementaries:has_cave_urns, wabi_sabi_structures:has_structure/wandering_trader_cart_cold, nova_structures:illager_hideout, wabi_sabi_structures:has_structure/monster_egg, rottencreatures:can_glacial_hunter_spawn_on, c:is_cold/overworld, c:is_overworld, minecraft:has_structure/mineshaft, rottencreatures:can_frostbitten_spawn_on, spectrum:has_structure/preservation_ruins, minecraft:spawns_white_rabbits, minecraft:spawns_snow_foxes, nova_structures:collections/overworld, philipsruins:has_structure/ancient_dungeon_biomes, minecraft:spawns_cold_variant_frogs, endermanoverhaul:cave_spawns, mostructures:has_structure/pillager_mines, supplementaries:has_wild_flax, c:is_icy, nova_structures:collections/icy, c:icy, c:is_rare, c:is_snowy, endermanoverhaul:all_spawns, minecraft:has_structure/portal_deepslate, mostructures:collections/icy, spectrum:has_structure/pedestal_ruins, nova_structures:collections/illager_camps, c:climate_cold, minecraft:has_structure/stronghold, c:in_overworld, mostructures:has_structure/ice_tower"
35,"minecraft:jagged_peaks","naturalist:has_snail, minecraft:has_structure/stronghold, c:is_cold, c:is_sparse_vegetation/overworld, c:climate_cold, spectral_seas:no_amethyst, c:is_sparse_vegetation, minecraft:spawns_white_rabbits, totw_reworked:has_structure/derelict_tower, spectrum:colored_trees_generating_in, minecraft:has_structure/mineshaft, c:is_snowy, wabi_sabi_structures:has_structure/monster_egg, c:in_overworld, spectrum:has_structure/pedestal_ruins, supplementaries:has_way_signs, spectrum:has_structure/preservation_ruins, c:is_cold/overworld, minecraft:is_mountain, totw_reworked:has_structure/derelict_grass_tower, nova_structures:collections/overworld, nova_structures:collections/mountains, naturalist:has_canary, formationsoverworld:has_structure/stone_tower, formationsoverworld:has_structure/stone_ore_spikes, supplementaries:has_wild_flax, philipsruins:has_structure/lost_soul_city_biomes, mvs:has_structure/mountain_biomes, minecraft:stronghold_biased_to, wabi_sabi_structures:has_structure/bat_monolith, betterstrongholds:has_structure/better_stronghold, c:is_mountain, minecraft:is_overworld, mostructures:collections/mountains, c:is_sparse/overworld, minecraft:spawns_snow_foxes, minecraft:spawns_cold_variant_frogs, philipsruins:has_structure/ancient_ruins_biomes, naturalist:has_robin, c:mountain, supplementaries:has_cave_urns, c:mountain_peak, minecraft:has_structure/portal_deepslate, c:is_mountain/peak, philipsruins:has_structure/ancient_towers_biomes, c:is_peak, philipsruins:has_structure/bone_dungeon_biomes, c:is_overworld, philipsruins:has_structure/ancient_dungeon_biomes, rottencreatures:can_undead_miner_spawn_on, minecraft:increased_fire_burnout, c:is_sparse, totw_reworked:has_structure/regular_tower"
36,"minecraft:jungle","c:is_dense, minecraft:has_structure/jungle_temple, nova_structures:collections/overworld, c:in_overworld, philipsruins:has_structure/rare_ruin_biomes, mostructures:has_structure/jungle_pyramid, mvs:has_structure/jungle_biomes, minecraft:has_structure/stronghold, wabi_sabi_structures:has_structure/monster_egg, c:is_hot/overworld, supplementaries:has_cave_urns, philipsruins:has_structure/bone_dungeon_biomes, nova_structures:collections/jungles, mostructures:collections/jungles, spectral_seas:no_amethyst, nova_structures:illager_hideout, formationsoverworld:has_structure/witch_tower, naturalist:has_tortoise, c:is_wet, naturalist:has_hippo, wabi_sabi_structures:has_structure/effigy_patch_jungle, wabi_sabi_structures:has_structure/bat_monolith, minecraft:has_structure/trail_ruins, spectrum:has_structure/pedestal_ruins, minecraft:increased_fire_burnout, minecraft:has_structure/mineshaft, c:is_dense/overworld, c:is_jungle, frycmobvariants:explorer_spawn_biomes, philipsruins:has_structure/start_nether_ruin_biomes, c:is_overworld, supplementaries:has_way_signs, minecraft:spawns_warm_variant_frogs, c:is_dense_vegetation, minecraft:stronghold_biased_to, c:is_hot, c:climate_wet, formationsoverworld:has_structure/small_house, philipsruins:has_structure/ancient_dungeon_biomes, supplementaries:has_wild_flax, spectrum:has_structure/preservation_ruins, nova_structures:collections/illager_camps, c:jungle, minecraft:is_overworld, minecraft:is_jungle, c:is_tree/jungle, c:is_dense_vegetation/overworld, rottencreatures:can_undead_miner_spawn_on, minecraft:has_structure/portal_deepslate, formationsoverworld:has_structure/small_temple, c:is_wet/overworld, betterstrongholds:has_structure/better_stronghold, c:climate_hot, totw_reworked:has_structure/jungle_tower, naturalist:has_lizard, philipsruins:has_structure/lost_soul_city_biomes, naturalist:has_coral_snake, spectrum:colored_trees_generating_in, nova_structures:collections/giant_trees, mostructures:collections/giant_trees, philipsruins:has_structure/level_two_ruins_biomes, nova_structures:collections/light_jungles, formationsoverworld:has_structure/fountain, formationsoverworld:has_structure/meteor, hybrid-aquatic:jungle, frycmobvariants:tropical_spider_spawn_biomes, formationsoverworld:has_structure/large_temple, towns_and_towers:has_structure/pillager_outpost_jungle, c:tree_jungle, c:vegetation_dense, formationsoverworld:has_structure/mesoamerican_temple, mvs:has_structure/overworld_biomes, wabi_sabi_structures:has_structure/memorial_of_tonkis, formationsoverworld:has_structure/tiny_house, towns_and_towers:has_structure/village_jungle_tribal, philipsruins:has_structure/field_stone_ruins_rocks_biomes"
37,"minecraft:lava_sea","minecraft:has_structure/ruined_portal_nether, c:is_dry, c:climate_hot, mostructures:collections/nether, mvs:has_structure/nether_biomes, c:climate_dry, c:is_dry/overworld, minecraft:is_nether, nova_structures:collections/nether, c:is_nether, c:in_nether, minecraft:spawns_warm_variant_frogs, c:is_hot/overworld, c:is_hot"
38,"galosphere:lichen_caves","wabi_sabi_structures:has_structure/monster_egg, spectral_seas:no_amethyst, minecraft:stronghold_biased_to, wabi_sabi_structures:has_structure/bat_monolith, minecraft:has_structure/mineshaft, minecraft:has_structure/portal_deepslate, spectrum:has_structure/pedestal_ruins"
39,"minecraft:lukewarm_ocean","supplementaries:has_way_signs, spectrum:has_structure/pedestal_ruins, mostructures:collections/oceans, rottencreatures:can_undead_miner_spawn_on, nova_structures:collections/overworld, minecraft:has_structure/ocean_ruin_warm, zhopo:has_structure/underwater_warm_small_ruins, wabi_sabi_structures:has_structure/monster_egg, c:shallow_ocean, supplementaries:has_cave_urns, c:aquatic, hybrid-aquatic:shallow_tropical_oceans, spectrum:mermaids_brushes_generating_in, spectral_seas:no_amethyst, nova_structures:collections/oceans, c:is_aquatic, philipsruins:has_structure/ancient_dungeon_biomes, spectrum:has_structure/preservation_ruins, c:in_overworld, c:ocean, minecraft:plays_underwater_music, wabi_sabi_structures:has_structure/bat_monolith, c:is_shallow_ocean, minecraft:has_structure/shipwreck, formationsoverworld:has_structure/raft, c:is_ocean, supplementaries:has_wild_flax, minecraft:has_structure/mineshaft, c:is_wet, c:is_overworld, c:climate_wet, philipsruins:has_structure/ocean_ruins_biomes, minecraft:is_ocean, towns_and_towers:has_structure/shallow_oceans_wreckage, frycmobvariants:corsair_spawn_biomes, c:is_water, hybrid-aquatic:tropical_oceans, c:is_wet/overworld, minecraft:is_overworld, unseaworthy:sinks_boats, totw_reworked:has_structure/ocean_tower, minecraft:water_on_map_outlines, minecraft:required_ocean_monument_surrounding"
40,"minecraft:lush_caves","c:is_wet/overworld, creeperoverhaul:is_cave, c:is_lush, minecraft:allows_tropical_fish_spawns_at_any_height, c:is_sparse_vegetation, nova_structures:illager_hideout, spectrum:has_structure/pedestal_ruins, frycmobvariants:explorer_spawn_biomes, c:is_overworld, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_way_signs, c:is_underground, nova_structures:collections/overworld, minecraft:has_structure/stronghold, naturalist:has_snail, spectral_seas:no_amethyst, supplementaries:has_cave_urns, c:is_wet, frycmobvariants:underground_biomes, minecraft:is_overworld, c:climate_wet, spectrum:has_structure/preservation_ruins, mostructures:collections/caves, endermanoverhaul:cave_spawns, hybrid-aquatic:caves, minecraft:has_structure/portal_deepslate, endermanoverhaul:all_spawns, c:in_overworld, wabi_sabi_structures:has_structure/monster_egg, c:caves, c:is_sparse_vegetation/overworld, c:vegetation_sparse, supplementaries:has_wild_flax, minecraft:stronghold_biased_to, philipsruins:has_structure/ancient_dungeon_biomes, c:is_cave, betterstrongholds:has_structure/better_stronghold, minecraft:has_structure/mineshaft, nova_structures:collections/illager_camps, philipsruins:has_structure/bone_dungeon_biomes, philipsruins:has_structure/lost_soul_city_biomes, rottencreatures:can_undead_miner_spawn_on, nova_structures:collections/caves, c:underground"
