"ID","Name","Description","Parent"
"spectrum:hidden/status_effects/deadly_poison","spectrum:hidden/status_effects/deadly_poison","<null>","-"
"spectrum:hidden/status_effects/density","spectrum:hidden/status_effects/density","<null>","-"
"spectrum:hidden/status_effects/divinity","spectrum:hidden/status_effects/divinity","<null>","-"
"spectrum:hidden/status_effects/effect_prolonging","spectrum:hidden/status_effects/effect_prolonging","<null>","-"
"spectrum:hidden/status_effects/eternal_slumber","spectrum:hidden/status_effects/eternal_slumber","<null>","-"
"spectrum:hidden/status_effects/fatal_slumber","spectrum:hidden/status_effects/fatal_slumber","<null>","-"
"spectrum:hidden/status_effects/frenzy","spectrum:hidden/status_effects/frenzy","<null>","-"
"spectrum:hidden/status_effects/immunity","spectrum:hidden/status_effects/immunity","<null>","-"
"spectrum:hidden/status_effects/lava_gliding","spectrum:hidden/status_effects/lava_gliding","<null>","-"
"spectrum:hidden/status_effects/life_drain","spectrum:hidden/status_effects/life_drain","<null>","-"
"spectrum:hidden/status_effects/lightweight","spectrum:hidden/status_effects/lightweight","<null>","-"
"spectrum:hidden/status_effects/magic_annulation","spectrum:hidden/status_effects/magic_annulation","<null>","-"
"spectrum:hidden/status_effects/projectile_rebound","spectrum:hidden/status_effects/projectile_rebound","<null>","-"
"spectrum:hidden/status_effects/scarred","spectrum:hidden/status_effects/scarred","<null>","-"
"spectrum:hidden/status_effects/somnolence","spectrum:hidden/status_effects/somnolence","<null>","-"
"spectrum:hidden/status_effects/stiffness","spectrum:hidden/status_effects/stiffness","<null>","-"
"spectrum:hidden/status_effects/swiftness","spectrum:hidden/status_effects/swiftness","<null>","-"
"spectrum:hidden/status_effects/toughness","spectrum:hidden/status_effects/toughness","<null>","-"
"spectrum:hidden/status_effects/vulnerability","spectrum:hidden/status_effects/vulnerability","<null>","-"
"spectrum:hidden/unlock_explard_hint","spectrum:hidden/unlock_explard_hint","<null>","-"
"spectrum:hidden/used_tip","spectrum:hidden/used_tip","<null>","-"
"spectrum:hidden/visit_dd_biomes/black_langast","spectrum:hidden/visit_dd_biomes/black_langast","<null>","-"
"spectrum:hidden/visit_dd_biomes/crystal_gardens","spectrum:hidden/visit_dd_biomes/crystal_gardens","<null>","-"
"spectrum:hidden/visit_dd_biomes/deep_barrens","spectrum:hidden/visit_dd_biomes/deep_barrens","<null>","-"
"spectrum:hidden/visit_dd_biomes/deep_dripstone_caves","spectrum:hidden/visit_dd_biomes/deep_dripstone_caves","<null>","-"
"spectrum:hidden/visit_dd_biomes/dragonrot_swamp","spectrum:hidden/visit_dd_biomes/dragonrot_swamp","<null>","-"
"spectrum:hidden/visit_dd_biomes/howling_spires","spectrum:hidden/visit_dd_biomes/howling_spires","<null>","-"
"spectrum:hidden/visit_dd_biomes/noxshroom_forest","spectrum:hidden/visit_dd_biomes/noxshroom_forest","<null>","-"
"spectrum:hidden/visit_dd_biomes/razor_edge","spectrum:hidden/visit_dd_biomes/razor_edge","<null>","-"
"spectrum:hook_entity_with_molten_rod","[Led into Fire]","Give someone a fish and they will eat for a day. Give them a Molten Rod, and they will set the world on fire","spectrum:fish_in_lava"
"spectrum:lategame/break_budding_block_with_resonance_tool","[Budding Friendship]","Break a Budding Block using a Resonance Tool","spectrum:lategame/craft_resonant_pickaxe"
"spectrum:lategame/break_infested_block_with_resonance_tool","[Not today, old friend]","Break an Infested Block using a Resonance Tool","spectrum:lategame/craft_resonant_pickaxe"
"spectrum:lategame/break_spawner_with_resonance_tool","[The Evil Within]","Break a Mob Spawner using a Resonance Tool","spectrum:lategame/craft_resonant_pickaxe"
"spectrum:lategame/build_complex_pedestal_structure","[Construct the Spectrum Complex]","Upgrade your Pedestal Structure one last time to fully harness its magical powers","spectrum:lategame/craft_moonstone_pedestal"
"spectrum:lategame/build_complex_pedestal_structure_without_moonstone","[A Missing Puzzle Piece]","""Borrow"" some Moonstone Chiseled Blocks to expand your own Pedestal Structure","spectrum:lategame/craft_moonstone_pedestal"
"spectrum:lategame/carry_too_many_low_gravity_blocks","[No one could see that coming]","Carry so much Paltaeria with you that you take flight","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/collect_aether_vestiges","[Unknowable]","Collect the vestiges of an Aether Shard","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/collect_all_cookbooks","[Yet Another's Requiem]","To peer into this small collection is to peer into the vibrant cultures of peoples long gone. A reminder that they lived","spectrum:lategame/collect_one_cookbook"
"spectrum:lategame/collect_all_legendary_weapons","[An Artist's Vanitas]","Invent and collect every legendary weapon.","spectrum:lategame/collect_pure_resource"
"spectrum:lategame/collect_bismuth","[50 Shades of Everything]","Collect Bismuth","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_bismuth_crystal","[Primordial Dream]","Grow Bismuth into a full sized crystal and then break it. This iridescent material seems to collect energy from other nearby metal blocks","spectrum:lategame/collect_bismuth"
"spectrum:lategame/collect_dd_resources","[Hoarder]","Collect all the various resources scattered around the Deeper Down","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/collect_doombloom_seed","[Death Candle]","A howling fire, explosions, death. And a seed or two","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_downstone_fragments","[Massive Mechanisms]","Harvesting Downstone? The technology was definitely there","spectrum:lategame/find_excavation_site"
"spectrum:lategame/collect_enough_hints","[Blue's Clues]","Find out why the Deeper Down is abandoned. Tinker with all sorts of stuff to find clues","spectrum:lategame/find_forgotten_city"
"spectrum:lategame/collect_grayscale_pigments","[Four shades of Gray]","Complete your Pigment Collection by collecting the four grayscale Pigments","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/collect_hover_block","[Unstoppable Force vs. Self]","What happens when two worlds collide?","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/collect_hummingstone","[Songbird]","Collect Hummingstone","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_malachite","[A mesmerizing shade of Green]","Bump into Malachite on your way through the Deeper Down","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/collect_moonstone","[The Brightest of Whites]","Discover a Moonstone Geode","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/collect_moonstone_core","[Bright Powerhouse]","Find a Moonstone Core in one of the the Underground Cities","spectrum:lategame/find_forgotten_city"
"spectrum:lategame/collect_myceylon","[Mushroom Aromatics]","Use an Axe to scrap the bark off of a Noxwood Mushroom","spectrum:lategame/collect_noxwood"
"spectrum:lategame/collect_mysterious_locket","[A third Gate]","A third Color Mixing puzzle awaits you","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/collect_nectar_gloves","[Beneath the Tide]","Discover the secret of the manor's courtyard","spectrum:lategame/find_undergrowth_manor"
"spectrum:lategame/collect_nectardew","[Nectar]","Discover a rare and mesmerizing flower","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_noxwood","[Mushroom Trees?]","Stumble upon Noxwood","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_one_cookbook","[Another's Nostalgia]","How old could these be? Certainly, their writers are long, long gone","spectrum:lategame/find_forgotten_city"
"spectrum:lategame/collect_paltaeria","[Watch it fly by]","Collect a fragment of Paltaeria","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/collect_poisoners_handbook","[Let us go Together]","Find something that you perhaps shouldn't have. Why would they...?","spectrum:lategame/enter_strange_preservation_ruin"
"spectrum:lategame/collect_prickly_bayleaf","[Pain Flavored]","Shear a Leaf off of a Sawblade Holly bush. They smell amazing in stews, but aren't too great to eat raw.","spectrum:lategame/collect_dd_resources"
"spectrum:lategame/collect_pure_resource","[Same, but Different]","Collect a Pure Resource Cluster. These have a way more intense sheen than your basic ore scraps","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/craft_moonstone_pedestal","[Brilliance]","Use a Moonstone Shard to upgrade your Pigment Pedestal once more","spectrum:lategame/collect_moonstone"
"spectrum:lategame/craft_resonant_pickaxe","[Good Vibrations]","Craft the Resonant Pickaxe. Its smooth vibrations seem to enable you to harvest a range of special blocks that were once unobtainable","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/create_evernectar","[Ultimate Dream]","Brew a poison with elucidating yet mystifying qualities","spectrum:lategame/collect_nectardew"
"spectrum:lategame/create_glass_crest_tool","[Ink Powered]","Socket a Malachite Tool with a Moonstone Core to unlock its active abilities","spectrum:lategame/create_malachite_tool"
"spectrum:lategame/create_jade_vine","[Once Intertwined]","Figure out how Jade Vines came to be","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/create_malachite_tool","[Green Dream]","Create a Tool made out of Malachite","spectrum:lategame/grow_malachite_in_crystallarieum"
"spectrum:lategame/create_resonance_enchanted_book","[Better Vibrations]","Use the Enchanter to create a Book enchanted with Resonance","spectrum:lategame/craft_resonant_pickaxe"
"spectrum:lategame/eat_each_cookbook_heavy_meal","[The Gourmand]","Take a culinary tour of all the great meals in the underground cookbooks","spectrum:lategame/collect_all_cookbooks"
"spectrum:lategame/enchant_exchanging_staff","[More than a Building Tool]","Create and enchant an Exchanging Staff","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/enter_strange_preservation_ruin","[Jagged Dive]","Enter an unusually moist ruin that smells strongly of incense.","spectrum:lategame/find_undergrowth_manor"
"spectrum:lategame/equip_neat_ring","[Neat]","Craft and equip an insanely expensive ring to assert dominance","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/find_excavation_site","[Very Boring]","Stumble over an Excavation Site","spectrum:lategame/reached_dd_floor"
"spectrum:lategame/find_forgotten_city","[Remnants of the Past]","Enter a Forgotten City","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/find_undergrowth_manor","[Hideaway]","Enter an Undergrowth Manor","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/get_killed_while_out_of_deeper_down_bounds","[Duct Tape Escape]","Find the way back to your home via unusual means","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/grow_bismuth_in_crystallarieum","[A solid Improvement]","Grow a Bismuth Crystal using the Crystallarieum","spectrum:lategame/collect_bismuth_crystal"
"spectrum:lategame/grow_malachite_in_crystallarieum","[Eons squeezed into Minutes]","The growth of Malachite seems so slow, you will probably not be able to experience it in your lifetime. Is there an other way?","spectrum:lategame/collect_malachite"
"spectrum:lategame/no_rgb","[Not Very Enlightening]","What exactly did you expect to happen? We are doing CMY here. Keep the RGB in your keyboard","spectrum:lategame/build_complex_pedestal_structure"
"spectrum:lategame/put_too_many_low_gravity_blocks_into_animal","[I must go, my planet needs me]","Overload one of your animals with Paltaeria. Bye bye","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/reached_dd_floor","[Bedrock 2: Electric Boogaloo]","Reach the Bottom of the Deeper Down","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/revive_black_sludge_plant","[Druid of the Deeper Down]","Revive a Black Sludge 'Plant'","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/shoot_fully_overcharged_crossbow","[Supercharged]","Shoot a fully charged Glass Crest Crossbow","spectrum:lategame/create_glass_crest_tool"
"spectrum:lategame/solve_strange_preservation_ruin","[Resurfacing]","A structure that got you lost in black waters... no more","spectrum:lategame/enter_strange_preservation_ruin"
"spectrum:lategame/spectrum_lategame","[Spectrum - Turn to Purity]","A story about reflective poetry","-"
"spectrum:lategame/strike_up_hummingstone_hymn","[Symphony]","Strike up a Hummingstone Hymn","spectrum:lategame/collect_hummingstone"
"spectrum:lategame/survive_fatal_slumber","[Deep Light]","Survive fatal slumber and come... dangerously close to... to what.","spectrum:lategame/collect_nectardew"
"spectrum:lategame/tame_lizard","[Friend or Foe? Why not Both!]","'Tame' a Lurking Lizard","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/trigger_unenchanted_workstaff","[But Why]","Disenchant a Workstaff and think about what you've done","spectrum:lategame/create_malachite_tool"
"spectrum:lategame/use_perturbed_eye","[I like to move it, move it]","Socket a Perturbed Eye into an End Portal Frame and let destruction ensue","spectrum:lategame/collect_paltaeria"
"spectrum:lategame/visit_all_deeper_down_biomes","[Biomes Below Bedrock]","Visit each of the biomes in the Deeper Down","spectrum:lategame/spectrum_lategame"
"spectrum:lategame/wear_both_gravity_trinkets","[Heavily Delighted]","Equip both gravity-affecting rings at the same time","spectrum:lategame/collect_paltaeria"
"spectrum:midgame/apply_divinity","[Very Mortal Spirit]","Drink Freigeist to get enormous buffs... at great cost, if you die","spectrum:midgame/collect_blood_orchid_petal"
"spectrum:midgame/become_enlightened","[The Professional Catposter]","From posting cats every day, to solving the secrets of the universe: you are truly the best of the best. You finally know how many A's it takes to spell Noaaan's name.","spectrum:midgame/collect_stratine"
"spectrum:midgame/break_decayed_bedrock","[Groundbreaking]","Break Decayed Bedrock","spectrum:midgame/craft_bottle_of_ruin"
"spectrum:midgame/brew_lasting_potion_in_potion_workshop","[A Days Worth]","Combine Reagents in the Potion Workshop to brew a Potion that lasts 20 minutes or more","spectrum:midgame/brew_potion_in_potion_workshop"
"spectrum:midgame/brew_no_potion_in_potion_workshop","[Become too greedy]","Use so many potion reagents that reduce yield you end up with nothing","spectrum:midgame/brew_potion_in_potion_workshop"
"spectrum:midgame/brew_potion_in_potion_workshop","[Alchemy with a Touch of Magic]","Use the Potion Workshop to brew a Potion. Add Reagents to add additional effects","spectrum:midgame/collect_stratine"
"spectrum:midgame/brew_potion_with_four_effects_in_potion_workshop","[Wicked Mix]","Brew a Potion with 4 unique effects","spectrum:midgame/brew_potion_in_potion_workshop"
"spectrum:midgame/brew_powerful_potion_in_potion_workshop","[Pleasant on the Finish]","Combine Reagents in the Potion Workshop to brew a Potion with a level IV effect","spectrum:midgame/brew_potion_in_potion_workshop"
"spectrum:midgame/build_advanced_pedestal_structure","[Construct the Spectrum Temple]","Add new blocks to your Structure to make use of your improved Pedestal","spectrum:midgame/spectrum_midgame"
"spectrum:midgame/build_cinderhearth_structure","[Going Full Blast]","Put a Cinderhearth into operation","spectrum:midgame/fill_ink_container"
"spectrum:midgame/build_cinderhearth_structure_without_lava","[Was that really necessary?]","The book said 'it looks so much better WITH Lava', smartass","spectrum:midgame/build_cinderhearth_structure"
"spectrum:midgame/build_enchanting_structure","[Next Level Enchanting]","Construct the Enchanter Structure","spectrum:midgame/enter_liquid_crystal"
"spectrum:midgame/build_spirit_instiller_structure","[The Will of the Wisps]","Construct the Spirit Instiller structure","spectrum:midgame/collect_azurite"
"spectrum:midgame/build_wither_using_wither_heads","[No, just No]","Build a Wither using Wither Skulls","spectrum:midgame/collect_wither_head_using_treasure_hunter"
"spectrum:midgame/carry_too_many_heavy_gravity_blocks","[Encumbrance? We ignored that]","Carry so much Stratine that you can't jump properly anymore","spectrum:midgame/collect_stratine"
"spectrum:midgame/collect_all_mob_heads","[Innumerable Trophies]","Collect each individual Mob Head & Skull. I really hope you have a big enough showroom","spectrum:midgame/collect_ender_dragon_head_using_treasure_hunter"
"spectrum:midgame/collect_azurite","[I got the Blues]","Collect Raw Azurite. It has to be refined to be more useful","spectrum:midgame/collect_neolith"
"spectrum:midgame/collect_blood_orchid_petal","[Jagged Leaf]","Find a Blood Orchid Petal","spectrum:midgame/break_decayed_bedrock"
"spectrum:midgame/collect_ender_dragon_head_using_treasure_hunter","[Dragons last Breath]","Collect the Ender Dragon's Head using a Weapon enchanted with Treasure Hunter","spectrum:midgame/collect_mob_head_using_treasure_hunter"
"spectrum:midgame/collect_gemstone_rock_candy","[Colorful, Crunchy Confection]","Get a hold of Gemstone colored Rock Candy","spectrum:midgame/enter_liquid_crystal"
"spectrum:midgame/collect_gemstone_shard_using_crystal_apothecary","[Having a Break]","Place a Crystal Apothecary in the center of a geode with fully grown Clusters","spectrum:midgame/collect_storm_stone"
"spectrum:midgame/collect_jade_jelly","[Golden Delicious]","Sometimes you have to go the path of destruction in order to create something greater","spectrum:midgame/plant_jade_vines"
"spectrum:midgame/collect_jade_vine_petals","[Soft as Velvet]","Pluck Petals off a partially grown Jade Vine","spectrum:midgame/plant_jade_vines"
"spectrum:midgame/collect_midnight_chip","[The Lesser Evil]","Get a Midnight Chip by using Midnight Solution","spectrum:midgame/create_midnight_aberration"
"spectrum:midgame/collect_mob_head_using_treasure_hunter","[Losing its mind]","Kill an Enemy with a Treasure Hunter enchanted Weapon and collect its Head","spectrum:midgame/build_enchanting_structure"
"spectrum:midgame/collect_moonstone_shard","spectrum:midgame/collect_moonstone_shard","<null>","-"
"spectrum:midgame/collect_neolith","[Non-Non-Amorphous]","Get Neolith","spectrum:midgame/craft_bottle_of_failing"
"spectrum:midgame/collect_resonant_lily","[One elusive Flower]","Pick up a Resonant Lily","spectrum:midgame/dip_something_into_liquid_crystal"
"spectrum:midgame/collect_storm_stone","[Thunderstruck]","Discover the Source of Storm Stones","spectrum:midgame/collect_neolith"
"spectrum:midgame/collect_stratine","[Heavy Load]","Retrieve Stratine from the depths of the Nether","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/collect_warden_head_using_treasure_hunter","[Warden't]","Collect the Warden's Head using a Weapon enchanted with Treasure Hunter","spectrum:midgame/collect_mob_head_using_treasure_hunter"
"spectrum:midgame/collect_wither_head_using_treasure_hunter","[A Withious Cycle]","Collect a Wither Skull using a weapon enchanted with Treasure Hunter","spectrum:midgame/collect_mob_head_using_treasure_hunter"
"spectrum:midgame/craft_and_get_25_xp","[Experienced Artist]","Craft a single Pedestal Recipe that rewards you with 25 XP","spectrum:midgame/collect_storm_stone"
"spectrum:midgame/craft_blacklisted_memory_fail","[Slack Again]","Successfully fail to remember a Memory of a creature too powerful to be resurrected","spectrum:midgame/manifest_memory"
"spectrum:midgame/craft_blacklisted_memory_success","[Whack Again]","Successfully remember a powerful creature as a Memory. You have been getting pretty good at this, haven't you?","spectrum:midgame/craft_blacklisted_memory_fail"
"spectrum:midgame/craft_bottle_of_decay_away","[Better Safe than Sorry]","Prep yourself with a Bottle of Decay Away, just in case anything goes horribly wrong","spectrum:midgame/collect_azurite"
"spectrum:midgame/craft_bottle_of_failing","[What Must Not Be]","Your first experiments were successful. But there has to be more...","spectrum:midgame/collect_stratine"
"spectrum:midgame/craft_bottle_of_ruin","[What should Never have Been]","It looks like there is still more. Create world-devouring decay by infusing pure crystals with the power of the void","spectrum:midgame/collect_midnight_chip"
"spectrum:midgame/craft_pigment_palette","[The Artist]","Equip a Pigment Palette to easier store the essence of your magical powers. You can fill it with Ink to power your Staffs","spectrum:midgame/create_refined_azurite"
"spectrum:midgame/craft_semi_permeable_glass","[Peace and Satisfaction]","Craft semi-permeable glass to protect your home from intruders","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/craft_something_brown","[The other Side of the Rainbow]","Using Onyx Powder create something truly Brown in your improved Pigment Pedestal","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/create_big_pastel_network","[Global Pastel Dispatcher]","Create a giant Pastel Network spanning over 32 nodes","spectrum:midgame/create_pastel_network"
"spectrum:midgame/create_budding_onyx","[My best Bud]","Create Budding Onyx in the Spirit Instiller. Seems like you are finally not relying on fusing them anymore!","spectrum:midgame/harvest_moonstruck_nectar"
"spectrum:midgame/create_huge_slime","[Huge Chungus]","Use a Bouncy Idol to create a Slime or Magma Cube of humongous size","spectrum:midgame/collect_mob_head_using_treasure_hunter"
"spectrum:midgame/create_midnight_aberration","[The Perfect Compound?]","Fuse Topaz, Amethyst, Citrine, Onyx and Neolith","spectrum:midgame/collect_neolith"
"spectrum:midgame/create_pastel_network","[Pastel Linked]","Create a Pastel Network by Linking two Pastel Nodes","spectrum:midgame/collect_azurite"
"spectrum:midgame/create_pastel_network_using_every_node_type","[Pastel Network Engineer]","Use each type of Pastel Node in a single Network","spectrum:midgame/create_pastel_network"
"spectrum:midgame/create_refined_azurite","[A Dream come Blue]","Refine Azurite into ingot form","spectrum:midgame/collect_azurite"
"spectrum:midgame/crumble_midnight_aberration","[An Immense Failure]","Definitely not as 'perfect' as you anticipated it to be. Your 'perfect compound' quickly crumbled in your hands, item by item.","spectrum:midgame/create_midnight_aberration"
"spectrum:midgame/dip_something_into_liquid_crystal","[Sparkle Infused]","Some things turn into something else when coming in contact with Liquid Crystal","spectrum:midgame/enter_liquid_crystal"
"spectrum:midgame/drink_jade_wine","[Ancient Booze]","Drink Jade Wine","spectrum:midgame/plant_jade_vines"
"spectrum:midgame/drink_tea_with_milk","[The Heathen]","Drink Tea with Milk","spectrum:midgame/collect_stratine"
"spectrum:midgame/enchant_book","[Lossless Compression]","Use the Enchanter to copy the Enchantments from one or more Enchanted Books to another. It will get pricey.","spectrum:midgame/build_enchanting_structure"
"spectrum:midgame/enchant_item_worth_2500_xp","[Big Spender]","Use the Enchanter to enchant a single Item with Enchantments worth 2500 XP","spectrum:midgame/enchant_book"
"spectrum:midgame/enchant_seven_league_boots","[Hell for Leather]","Enchant your Seven League Boots with Power to become even quicker","spectrum:midgame/build_enchanting_structure"
"spectrum:midgame/enter_dimension","[What was once impenetrable]","Find out what lies beneath the once impenetrable Bedrock Floor","spectrum:midgame/open_deeper_down_portal"
"spectrum:midgame/enter_liquid_crystal","[Liquid Magic]","What happens when you submerge yourself in the combination of all you have learned so far?","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/fill_ink_container","[A new Form of Energy]","Use the Color Picker to fill an Ink container. Ink behaves similar to a gas, evening out between storages","spectrum:midgame/place_color_picker"
"spectrum:midgame/fill_knowledge_gem","[I dumped CHA instead]","Fill a Knowledge Gem with 10.000 Experience","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/fill_knowledge_gem_for_real_this_time","[My IN-Mod is +6]","Fill a fully enchanted Knowledge Gem with an uncountable amount of Experience","spectrum:midgame/fill_knowledge_gem"
"spectrum:midgame/fill_pigment_palette","[So much Room for Activities]","Fill up your Pigment Palette with all types of Ink available","spectrum:midgame/craft_pigment_palette"
"spectrum:midgame/fill_potion_pendant","[Potent Pendant]","Infuse a Potion Pendant with an effect. Place it in the Potion Workshop as if you were to brew a Potion","spectrum:midgame/brew_potion_in_potion_workshop"
"spectrum:midgame/fish_charged_creeper","[Dynamite Fishing]","Fish up a charged Creeper. Sometimes everyone has their bad day","spectrum:midgame/fish_in_many_liquids"
"spectrum:midgame/fish_in_many_liquids","[I just like to fish]","Fish in as many liquids as possible","spectrum:midgame/break_decayed_bedrock"
"spectrum:midgame/get_azure_dike_charge","[Shield Up]","Charge up a Point of Azure Dike by equipping a Trinket made out of Azurite","spectrum:midgame/create_refined_azurite"
"spectrum:midgame/get_tool_with_inertia_500_blocks_broken","[The fastest Pick in the West]","Break 500 identical Blocks using an Inertia enchanted Tool","spectrum:midgame/build_enchanting_structure"
"spectrum:midgame/harvest_moonstruck_nectar","[Worlds best Moonshine]","Harvest Moonstruck Nectar by using a Glass Bottle on fully grown Jade Vines","spectrum:midgame/plant_jade_vines"
"spectrum:midgame/have_half_a_heart_with_divinity","[Dangerously Close To Gods]","Drink Freigeist, ascend and then reach only half a heart","spectrum:midgame/apply_divinity"
"spectrum:midgame/high_jump_with_take_off_belt","[Perfect Timing]","Charge up a Takeoff Belt to the maximum by sneaking. Then jump!","spectrum:midgame/collect_storm_stone"
"spectrum:midgame/kill_a_mob_with_frenzy3","[Dark Passion Play]","Kill a mob while having the Frenzy III effect or higher. Instead of extending the duration, getting the effect a second time will upgrade it's level instead","spectrum:midgame/collect_blood_orchid_petal"
"spectrum:midgame/kill_entity_with_ink_projectile","[Painbrush]","Kill a creature by using your Paintbrush's Ink Slinging ability. Sneak-Use to select a color.","spectrum:midgame/fill_ink_container"
"spectrum:midgame/kill_entity_with_jeopardant_and_half_a_heart","[Living on the Edge]","Equip a Jeopardant and deal a killing blow while having only half a heart left","spectrum:midgame/collect_stratine"
"spectrum:midgame/manifest_memory","[Back Again]","Create and manifest a Memory","spectrum:midgame/build_spirit_instiller_structure"
"spectrum:midgame/open_deeper_down_portal","[Abyssal]","Open a Portal... Deeper Down","spectrum:midgame/break_decayed_bedrock"
"spectrum:midgame/place_color_picker","[Being Picky]","Craft and place down a Color Picker","spectrum:midgame/spectrum_midgame"
"spectrum:midgame/plant_jade_vines","[Legacy of Times long Past]","Germinate a Jade Vine Bulb and plant it on the bottom of a Fence. Like all Vines, they grow downwards. Hidden away for aeons, sunlight is way too intense for your plant - they only grow when exposed to gentle moonlight","spectrum:midgame/build_spirit_instiller_structure"
"spectrum:midgame/pluck_blood_orchid_petal","[They fear me, they fear me not]","Create a Blood Orchid Plant and pluck it to get more Petals","spectrum:midgame/collect_blood_orchid_petal"
"spectrum:midgame/potion_mastery","[Potion Mastery]","Master the use of Reagents. You have unlocked an additional Reagent Slot!","spectrum:midgame/brew_powerful_potion_in_potion_workshop"
"spectrum:midgame/remember_egg_laying_wooly_pig","[Once only a Tale]","Hatch the Memory of an Egg Laying Wooly Pig","spectrum:midgame/manifest_memory"
"spectrum:midgame/smelt_in_cinderhearth_with_yield_upgrades","[Ink to Matter]","Use a Production Surge and Light Blue Ink in the Cinderhearth for a chance to multiply your smelting output","spectrum:midgame/build_cinderhearth_structure"
"spectrum:midgame/smelt_pure_resource_in_cinderhearth","[Ore Avalanche]","The Cinderhearth seems to be immensely more efficient when smelting pure resource clusters compared to a mundane Blast Furnace","spectrum:midgame/build_cinderhearth_structure"
"spectrum:midgame/spectrum_midgame","[Spectrum - Fall from Grace]","A story about curiosity and greed","-"
"spectrum:midgame/take_off_belt_overcharged","[Not-So-Perfect Timing]","Charge up a Takeoff Belt too far and lose its charge","spectrum:midgame/high_jump_with_take_off_belt"
"spectrum:midgame/tap_chrysocolla","[Probably better with Salad]","Tap Jade Wine that has matured a little too long","spectrum:midgame/drink_jade_wine"
"spectrum:midgame/tap_sweetened_jade_wine","[Ancient Booze++]","Looks - or rather tastes - like jade wine is much easier on the tongue when you add a drop of sweetness to it","spectrum:midgame/drink_jade_wine"
"spectrum:midgame/upgrade_pastel_node","[Parisian Pastels]","Upgrade a pastel node by tinting its rings of light","spectrum:midgame/create_pastel_network"
"spectrum:midgame/upgrade_pastel_node_lamp","[Studio Pastel-Lights]","Turn a pastel node into an arguably overpriced but inarguably pretty lamp","spectrum:midgame/upgrade_pastel_node"
"spectrum:midgame/upgrade_pastel_node_throughput","[Heavy Duty Pastels]","Sample the best of the best in throughput-enhancing pastel upgrades","spectrum:midgame/upgrade_pastel_node"
"spectrum:midgame/use_all_pedestal_upgrades","[Enhance]","Place an Upgrade on top of each of the four Gemstone Blocks of your Pedestal Structure to improve its properties","spectrum:midgame/build_advanced_pedestal_structure"
"spectrum:midgame/use_decay_away_on_sculk","[Undarks your Deep]","Looks like Sculk very much qualifies as a self-replicating organism, too","spectrum:midgame/craft_bottle_of_decay_away"
"spectrum:midgame/wear_complete_set_of_bedrock_armor","[Black Knight]","Black Knight of the roses, everlasting. Wear a full suit of Bedrock Armor","spectrum:midgame/break_decayed_bedrock"
"spectrum:milestones/confirmed_drinking_age","spectrum:milestones/confirmed_drinking_age","<null>","-"
"spectrum:milestones/reveal_amaranth","spectrum:milestones/reveal_amaranth","<null>","-"
"spectrum:milestones/reveal_azurite","spectrum:milestones/reveal_azurite","<null>","-"
"spectrum:milestones/reveal_blood_orchid_petals","spectrum:milestones/reveal_blood_orchid_petals","<null>","-"
"spectrum:milestones/reveal_colored_saplings_cmy","spectrum:milestones/reveal_colored_saplings_cmy","<null>","-"
"spectrum:milestones/reveal_colored_trees_cmy","spectrum:milestones/reveal_colored_trees_cmy","<null>","-"
"spectrum:milestones/reveal_colored_trees_k","spectrum:milestones/reveal_colored_trees_k","<null>","-"
"spectrum:milestones/reveal_colored_trees_w","spectrum:milestones/reveal_colored_trees_w","<null>","-"
"spectrum:milestones/reveal_dragonbone","spectrum:milestones/reveal_dragonbone","<null>","-"
